genome_id	reference_path	truth_bp	n_truth_sequences	samples
ASV316.11	v4_hybrid_development/truth/references/ASV316.11.fasta	18587	78	S0
ASV324.5	v4_hybrid_development/truth/references/ASV324.5.fasta	484937	1985	S0,S1
ASV329.2	v4_hybrid_development/truth/references/ASV329.2.fasta	5063084	4146	S0,S1
ASV334.1	v4_hybrid_development/truth/references/ASV334.1.fasta	674050	2622	S0,S1
ASV337.1	v4_hybrid_development/truth/references/ASV337.1.fasta	6260179	1246	S0,S1
ASV341.3	v4_hybrid_development/truth/references/ASV341.3.fasta	152068	636	S0,S1
ASV347.10	v4_hybrid_development/truth/references/ASV347.10.fasta	50968	214	S0
ASV348.5	v4_hybrid_development/truth/references/ASV348.5.fasta	24449	104	S0
ASV357.0	v4_hybrid_development/truth/references/ASV357.0.fasta	32998	138	S1
ASV364.1	v4_hybrid_development/truth/references/ASV364.1.fasta	794647	3092	S0,S1
ASV368.3	v4_hybrid_development/truth/references/ASV368.3.fasta	446064	1790	S0,S1
ASV371.2	v4_hybrid_development/truth/references/ASV371.2.fasta	1404131	5338	S0,S1
ASV372.2	v4_hybrid_development/truth/references/ASV372.2.fasta	3954588	9498	S0,S1
ASV373.9	v4_hybrid_development/truth/references/ASV373.9.fasta	194243	809	S0
ASV374.3	v4_hybrid_development/truth/references/ASV374.3.fasta	869855	3120	S0,S1
ASV379.6	v4_hybrid_development/truth/references/ASV379.6.fasta	15356	65	S1
ASV38.1	v4_hybrid_development/truth/references/ASV38.1.fasta	18181	73	S1
ASV380.3	v4_hybrid_development/truth/references/ASV380.3.fasta	63694	267	S0,S1
ASV383.0	v4_hybrid_development/truth/references/ASV383.0.fasta	17695	75	S1
ASV385.7	v4_hybrid_development/truth/references/ASV385.7.fasta	1086940	3715	S0,S1
ASV387.0	v4_hybrid_development/truth/references/ASV387.0.fasta	6133438	102	S0,S1
ASV395.17	v4_hybrid_development/truth/references/ASV395.17.fasta	41693	174	S1
ASV397.3	v4_hybrid_development/truth/references/ASV397.3.fasta	3734825	1676	S0,S1
ASV399.6	v4_hybrid_development/truth/references/ASV399.6.fasta	6310277	97	S0,S1
ASV401.0	v4_hybrid_development/truth/references/ASV401.0.fasta	2097201	3014	S1
ASV406.4	v4_hybrid_development/truth/references/ASV406.4.fasta	6696164	55	S0,S1
ASV420.1	v4_hybrid_development/truth/references/ASV420.1.fasta	29720	125	S0,S1
ASV426.8	v4_hybrid_development/truth/references/ASV426.8.fasta	5690560	76	S0,S1
ASV429.0	v4_hybrid_development/truth/references/ASV429.0.fasta	4194279	12638	S0,S1
ASV430.9	v4_hybrid_development/truth/references/ASV430.9.fasta	95641	398	S1
ASV431.3	v4_hybrid_development/truth/references/ASV431.3.fasta	6789720	5895	S0,S1
ASV432.5	v4_hybrid_development/truth/references/ASV432.5.fasta	25678	110	S1
ASV436.0	v4_hybrid_development/truth/references/ASV436.0.fasta	7584639	112	S0,S1
ASV437.3	v4_hybrid_development/truth/references/ASV437.3.fasta	316308	1287	S0,S1
ASV440.15	v4_hybrid_development/truth/references/ASV440.15.fasta	205857	854	S0
ASV442.4	v4_hybrid_development/truth/references/ASV442.4.fasta	2894720	701	S0,S1
ASV444.5	v4_hybrid_development/truth/references/ASV444.5.fasta	4285968	9680	S0,S1
ASV447.2	v4_hybrid_development/truth/references/ASV447.2.fasta	748539	3065	S0,S1
ASV456.0	v4_hybrid_development/truth/references/ASV456.0.fasta	7090287	166	S0,S1
ASV463.1	v4_hybrid_development/truth/references/ASV463.1.fasta	1889523	5712	S0,S1
ASV466.0	v4_hybrid_development/truth/references/ASV466.0.fasta	2121864	7416	S0,S1
ASV468.10	v4_hybrid_development/truth/references/ASV468.10.fasta	27856	120	S1
ASV470.1	v4_hybrid_development/truth/references/ASV470.1.fasta	6621008	449	S0,S1
ASV471.8	v4_hybrid_development/truth/references/ASV471.8.fasta	727549	2906	S0,S1
ASV472.8	v4_hybrid_development/truth/references/ASV472.8.fasta	24251	103	S1
ASV473.1	v4_hybrid_development/truth/references/ASV473.1.fasta	2256706	7232	S0,S1
ASV475.5	v4_hybrid_development/truth/references/ASV475.5.fasta	120948	496	S1
ASV476.8	v4_hybrid_development/truth/references/ASV476.8.fasta	8477642	125	S0,S1
ASV481.2	v4_hybrid_development/truth/references/ASV481.2.fasta	1147595	4284	S0,S1
ASV482.5	v4_hybrid_development/truth/references/ASV482.5.fasta	20132	83	S1
ASV483.5	v4_hybrid_development/truth/references/ASV483.5.fasta	27555	117	S1
ASV484.0	v4_hybrid_development/truth/references/ASV484.0.fasta	5739357	2159	S0,S1
ASV486.6	v4_hybrid_development/truth/references/ASV486.6.fasta	4174864	579	S0,S1
ASV487.10	v4_hybrid_development/truth/references/ASV487.10.fasta	8289790	176	S0,S1
ASV49.2	v4_hybrid_development/truth/references/ASV49.2.fasta	613410	2310	S0,S1
ASV491.4	v4_hybrid_development/truth/references/ASV491.4.fasta	2681274	5839	S0,S1
ASV495.13	v4_hybrid_development/truth/references/ASV495.13.fasta	20549	88	S1
ASV497.3	v4_hybrid_development/truth/references/ASV497.3.fasta	806960	3135	S0,S1
ASV499.2	v4_hybrid_development/truth/references/ASV499.2.fasta	678367	2675	S0,S1
ASV5.11	v4_hybrid_development/truth/references/ASV5.11.fasta	23435	98	S0
ASV50.0	v4_hybrid_development/truth/references/ASV50.0.fasta	46826	190	S0,S1
ASV504.4	v4_hybrid_development/truth/references/ASV504.4.fasta	1281880	4784	S0,S1
ASV507.0	v4_hybrid_development/truth/references/ASV507.0.fasta	6098306	197	S0,S1
ASV507.1	v4_hybrid_development/truth/references/ASV507.1.fasta	5839690	146	S0,S1
ASV507.11	v4_hybrid_development/truth/references/ASV507.11.fasta	5766119	52	S0,S1
ASV507.3	v4_hybrid_development/truth/references/ASV507.3.fasta	6111665	237	S0,S1
ASV507.9	v4_hybrid_development/truth/references/ASV507.9.fasta	5792257	91	S0,S1
ASV509.0	v4_hybrid_development/truth/references/ASV509.0.fasta	1791462	6330	S0,S1
ASV511.12	v4_hybrid_development/truth/references/ASV511.12.fasta	141146	587	S0,S1
ASV513.0	v4_hybrid_development/truth/references/ASV513.0.fasta	77000	323	S0,S1
ASV514.0	v4_hybrid_development/truth/references/ASV514.0.fasta	146714	606	S0,S1
ASV515.12	v4_hybrid_development/truth/references/ASV515.12.fasta	2724564	8363	S0,S1
ASV519.3	v4_hybrid_development/truth/references/ASV519.3.fasta	3863935	8045	S0,S1
ASV520.8	v4_hybrid_development/truth/references/ASV520.8.fasta	203821	836	S0,S1
ASV525.6	v4_hybrid_development/truth/references/ASV525.6.fasta	46408	198	S0
ASV54.3	v4_hybrid_development/truth/references/ASV54.3.fasta	25813	112	S0
ASV540.2	v4_hybrid_development/truth/references/ASV540.2.fasta	2500621	6560	S0,S1
ASV545.7	v4_hybrid_development/truth/references/ASV545.7.fasta	170633	697	S1
ASV546.2	v4_hybrid_development/truth/references/ASV546.2.fasta	162229	673	S0,S1
ASV547.6	v4_hybrid_development/truth/references/ASV547.6.fasta	4482265	6682	S0,S1
ASV550.6	v4_hybrid_development/truth/references/ASV550.6.fasta	49690	209	S1
ASV551.0	v4_hybrid_development/truth/references/ASV551.0.fasta	4631812	181	S0,S1
ASV557.0	v4_hybrid_development/truth/references/ASV557.0.fasta	2693844	5961	S0,S1
ASV563.0	v4_hybrid_development/truth/references/ASV563.0.fasta	43778	182	S1
ASV564.0	v4_hybrid_development/truth/references/ASV564.0.fasta	54137	239	S0,S1
ASV565.1	v4_hybrid_development/truth/references/ASV565.1.fasta	251677	1056	S0,S1
ASV573.1	v4_hybrid_development/truth/references/ASV573.1.fasta	3152596	7732	S0,S1
ASV575.8	v4_hybrid_development/truth/references/ASV575.8.fasta	12486	53	S1
ASV576.1	v4_hybrid_development/truth/references/ASV576.1.fasta	310348	1240	S0,S1
ASV577.0	v4_hybrid_development/truth/references/ASV577.0.fasta	442668	1759	S0,S1
ASV579.0	v4_hybrid_development/truth/references/ASV579.0.fasta	2345868	1	S0,S1
ASV581.18	v4_hybrid_development/truth/references/ASV581.18.fasta	50992	209	S0,S1
ASV582.2	v4_hybrid_development/truth/references/ASV582.2.fasta	58510	238	S0,S1
ASV583.8	v4_hybrid_development/truth/references/ASV583.8.fasta	408927	1633	S0,S1
ASV585.5	v4_hybrid_development/truth/references/ASV585.5.fasta	89193	370	S0,S1
ASV592.0	v4_hybrid_development/truth/references/ASV592.0.fasta	24596	101	S0
ASV596.11	v4_hybrid_development/truth/references/ASV596.11.fasta	54556	219	S0,S1
ASV602.4	v4_hybrid_development/truth/references/ASV602.4.fasta	32945	138	S0,S1
ASV607.0	v4_hybrid_development/truth/references/ASV607.0.fasta	1832371	2699	S0,S1
ASV61.4	v4_hybrid_development/truth/references/ASV61.4.fasta	11637	45	S0
ASV621.12	v4_hybrid_development/truth/references/ASV621.12.fasta	11960	46	S0
ASV626.0	v4_hybrid_development/truth/references/ASV626.0.fasta	17087	70	S1
ASV627.1	v4_hybrid_development/truth/references/ASV627.1.fasta	105654	443	S0,S1
ASV638.12	v4_hybrid_development/truth/references/ASV638.12.fasta	95222	409	S0,S1
ASV65.2	v4_hybrid_development/truth/references/ASV65.2.fasta	56178	235	S0,S1
ASV655.9	v4_hybrid_development/truth/references/ASV655.9.fasta	99885	406	S0
ASV66.4	v4_hybrid_development/truth/references/ASV66.4.fasta	21720	94	S0,S1
ASV668.0	v4_hybrid_development/truth/references/ASV668.0.fasta	122885	507	S0,S1
ASV670.1	v4_hybrid_development/truth/references/ASV670.1.fasta	1064832	3929	S0,S1
ASV671.4	v4_hybrid_development/truth/references/ASV671.4.fasta	86335	360	S1
ASV675.7	v4_hybrid_development/truth/references/ASV675.7.fasta	93916	396	S1
ASV676.10	v4_hybrid_development/truth/references/ASV676.10.fasta	176695	715	S0,S1
ASV68.9	v4_hybrid_development/truth/references/ASV68.9.fasta	2480602	6723	S0,S1
ASV687.8	v4_hybrid_development/truth/references/ASV687.8.fasta	9503820	3915	S0,S1
ASV688.0	v4_hybrid_development/truth/references/ASV688.0.fasta	4543955	11625	S0,S1
ASV689.9	v4_hybrid_development/truth/references/ASV689.9.fasta	85619	357	S1
ASV692.1	v4_hybrid_development/truth/references/ASV692.1.fasta	5228678	1413	S0,S1
ASV694.7	v4_hybrid_development/truth/references/ASV694.7.fasta	1504427	5651	S0,S1
ASV699.7	v4_hybrid_development/truth/references/ASV699.7.fasta	25625	109	S0
ASV7.12	v4_hybrid_development/truth/references/ASV7.12.fasta	11106	46	S1
ASV70.16	v4_hybrid_development/truth/references/ASV70.16.fasta	30573	128	S1
ASV709.10	v4_hybrid_development/truth/references/ASV709.10.fasta	569815	2259	S0,S1
ASV71.10	v4_hybrid_development/truth/references/ASV71.10.fasta	2524512	6444	S0,S1
ASV710.5	v4_hybrid_development/truth/references/ASV710.5.fasta	682758	2527	S1
ASV712.0	v4_hybrid_development/truth/references/ASV712.0.fasta	3774259	5024	S1
ASV713.0	v4_hybrid_development/truth/references/ASV713.0.fasta	15129	65	S1
ASV714.0	v4_hybrid_development/truth/references/ASV714.0.fasta	7557210	1518	S0,S1
ASV729.15	v4_hybrid_development/truth/references/ASV729.15.fasta	5856419	8128	S0,S1
ASV73.2	v4_hybrid_development/truth/references/ASV73.2.fasta	4927717	1632	S0,S1
ASV730.1	v4_hybrid_development/truth/references/ASV730.1.fasta	77217	332	S0,S1
ASV731.3	v4_hybrid_development/truth/references/ASV731.3.fasta	111911	477	S0,S1
ASV735.19	v4_hybrid_development/truth/references/ASV735.19.fasta	24108	98	S1
ASV737.3	v4_hybrid_development/truth/references/ASV737.3.fasta	25738	108	S0
ASV74.2	v4_hybrid_development/truth/references/ASV74.2.fasta	266127	1104	S0,S1
ASV741.10	v4_hybrid_development/truth/references/ASV741.10.fasta	527456	2130	S0,S1
ASV743.6	v4_hybrid_development/truth/references/ASV743.6.fasta	6230532	7231	S0,S1
ASV749.3	v4_hybrid_development/truth/references/ASV749.3.fasta	25691	109	S0
ASV783.5	v4_hybrid_development/truth/references/ASV783.5.fasta	5353157	4074	S0,S1
ASV79.5	v4_hybrid_development/truth/references/ASV79.5.fasta	23286	101	S1
ASV790.3	v4_hybrid_development/truth/references/ASV790.3.fasta	67026	289	S0
ASV81.2	v4_hybrid_development/truth/references/ASV81.2.fasta	109187	449	S0,S1
ASV815.4	v4_hybrid_development/truth/references/ASV815.4.fasta	966728	3587	S1
ASV86.13	v4_hybrid_development/truth/references/ASV86.13.fasta	2010570	7054	S0,S1
ASV87.11	v4_hybrid_development/truth/references/ASV87.11.fasta	33652	145	S0,S1
ASV88.2	v4_hybrid_development/truth/references/ASV88.2.fasta	64719	278	S0,S1
ASV96.0	v4_hybrid_development/truth/references/ASV96.0.fasta	349971	1435	S0,S1
ASV98.15	v4_hybrid_development/truth/references/ASV98.15.fasta	84255	354	S0,S1
ASV99.3	v4_hybrid_development/truth/references/ASV99.3.fasta	5432653	15795	S0,S1
fASV1.1	v4_hybrid_development/truth/references/fASV1.1.fasta	55845740	83152	S0,S1
fASV192.1	v4_hybrid_development/truth/references/fASV192.1.fasta	17124302	37662	S0,S1
fASV194.0	v4_hybrid_development/truth/references/fASV194.0.fasta	12823097	20675	S0,S1
fASV195.4	v4_hybrid_development/truth/references/fASV195.4.fasta	47662404	49345	S0,S1
fASV196.1	v4_hybrid_development/truth/references/fASV196.1.fasta	45885385	44551	S0,S1
fASV197.5	v4_hybrid_development/truth/references/fASV197.5.fasta	64628750	49861	S0,S1
fASV198.4	v4_hybrid_development/truth/references/fASV198.4.fasta	16652213	18132	S0,S1
fASV199.4	v4_hybrid_development/truth/references/fASV199.4.fasta	7048377	27882	S0,S1
fASV200.0	v4_hybrid_development/truth/references/fASV200.0.fasta	12409877	45515	S0,S1
fASV201.3	v4_hybrid_development/truth/references/fASV201.3.fasta	58464848	31441	S0,S1
hASV1.0	v4_hybrid_development/truth/references/hASV1.0.fasta	128233213	533419	S0,S1
hvASV10.7	v4_hybrid_development/truth/references/hvASV10.7.fasta	61402	13	S0,S1
hvASV11.0	v4_hybrid_development/truth/references/hvASV11.0.fasta	3132	2	S0,S1
hvASV12.4	v4_hybrid_development/truth/references/hvASV12.4.fasta	39703	111	S0,S1
hvASV16.0	v4_hybrid_development/truth/references/hvASV16.0.fasta	15179	2	S0,S1
hvASV19.0	v4_hybrid_development/truth/references/hvASV19.0.fasta	1406	4	S0,S1
hvASV2.6	v4_hybrid_development/truth/references/hvASV2.6.fasta	175966	2	S0,S1
hvASV20.3	v4_hybrid_development/truth/references/hvASV20.3.fasta	55822	2	S0,S1
hvASV21.0	v4_hybrid_development/truth/references/hvASV21.0.fasta	3294	4	S0,S1
hvASV23.0	v4_hybrid_development/truth/references/hvASV23.0.fasta	78421	14	S0,S1
hvASV24.0	v4_hybrid_development/truth/references/hvASV24.0.fasta	4892	1	S0
hvASV28.8	v4_hybrid_development/truth/references/hvASV28.8.fasta	153162	2	S0,S1
hvASV29.0	v4_hybrid_development/truth/references/hvASV29.0.fasta	3351	4	S0,S1
hvASV3.3	v4_hybrid_development/truth/references/hvASV3.3.fasta	36013	35	S0,S1
hvASV30.0	v4_hybrid_development/truth/references/hvASV30.0.fasta	3286	4	S0,S1
hvASV31.0	v4_hybrid_development/truth/references/hvASV31.0.fasta	12614	5	S0,S1
hvASV32.0	v4_hybrid_development/truth/references/hvASV32.0.fasta	2369	7	S0,S1
hvASV33.5	v4_hybrid_development/truth/references/hvASV33.5.fasta	27687	46	S0,S1
hvASV34.2	v4_hybrid_development/truth/references/hvASV34.2.fasta	2909	3	S0,S1
hvASV35.2	v4_hybrid_development/truth/references/hvASV35.2.fasta	55974	37	S0,S1
hvASV36.0	v4_hybrid_development/truth/references/hvASV36.0.fasta	7716	2	S0,S1
hvASV37.6	v4_hybrid_development/truth/references/hvASV37.6.fasta	58545	2	S0,S1
hvASV38.7	v4_hybrid_development/truth/references/hvASV38.7.fasta	40164	142	S0,S1
hvASV39.4	v4_hybrid_development/truth/references/hvASV39.4.fasta	41699	18	S0,S1
hvASV4.0	v4_hybrid_development/truth/references/hvASV4.0.fasta	5631	5	S1
hvASV40.10	v4_hybrid_development/truth/references/hvASV40.10.fasta	47946	17	S0,S1
hvASV41.0	v4_hybrid_development/truth/references/hvASV41.0.fasta	17546	2	S0,S1
hvASV45.0	v4_hybrid_development/truth/references/hvASV45.0.fasta	177674	87	S0,S1
hvASV47.0	v4_hybrid_development/truth/references/hvASV47.0.fasta	4042	6	S0,S1
hvASV48.0	v4_hybrid_development/truth/references/hvASV48.0.fasta	4764	2	S0,S1
hvASV49.0	v4_hybrid_development/truth/references/hvASV49.0.fasta	8781	2	S0,S1
hvASV5.0	v4_hybrid_development/truth/references/hvASV5.0.fasta	12924	2	S0,S1
hvASV6.0	v4_hybrid_development/truth/references/hvASV6.0.fasta	13945	13	S0,S1
hvASV7.0	v4_hybrid_development/truth/references/hvASV7.0.fasta	9228	9	S0,S1
hvASV8.13	v4_hybrid_development/truth/references/hvASV8.13.fasta	79433	10	S0,S1
hvASV9.0	v4_hybrid_development/truth/references/hvASV9.0.fasta	12046	9	S0,S1
pASV100	v4_hybrid_development/truth/references/pASV100.fasta	7907	34	S1
pASV101	v4_hybrid_development/truth/references/pASV101.fasta	10609	43	S1
pASV102	v4_hybrid_development/truth/references/pASV102.fasta	29116	123	S1
pASV42	v4_hybrid_development/truth/references/pASV42.fasta	1880108	20	S0,S1
pASV43	v4_hybrid_development/truth/references/pASV43.fasta	1782375	20	S0,S1
pASV62	v4_hybrid_development/truth/references/pASV62.fasta	53139	56	S0,S1
pASV63	v4_hybrid_development/truth/references/pASV63.fasta	80611	88	S0,S1
pASV64	v4_hybrid_development/truth/references/pASV64.fasta	40067	40	S0,S1
pASV65	v4_hybrid_development/truth/references/pASV65.fasta	725568	739	S0,S1
pASV66	v4_hybrid_development/truth/references/pASV66.fasta	54476	68	S0,S1
pASV67	v4_hybrid_development/truth/references/pASV67.fasta	20701	30	S0,S1
pASV68	v4_hybrid_development/truth/references/pASV68.fasta	1263399	1300	S0,S1
pASV98	v4_hybrid_development/truth/references/pASV98.fasta	2759	13	S1
pASV99	v4_hybrid_development/truth/references/pASV99.fasta	7904	32	S1
vASV1.0	v4_hybrid_development/truth/references/vASV1.0.fasta	103407	145	S0,S1
vASV10.0	v4_hybrid_development/truth/references/vASV10.0.fasta	72952	56	S0,S1
vASV100.0	v4_hybrid_development/truth/references/vASV100.0.fasta	171399	129	S0,S1
vASV11.3	v4_hybrid_development/truth/references/vASV11.3.fasta	335516	51	S0,S1
vASV12.0	v4_hybrid_development/truth/references/vASV12.0.fasta	208837	222	S0,S1
vASV13.0	v4_hybrid_development/truth/references/vASV13.0.fasta	52452	58	S0,S1
vASV14.0	v4_hybrid_development/truth/references/vASV14.0.fasta	9682	12	S0,S1
vASV15.0	v4_hybrid_development/truth/references/vASV15.0.fasta	86159	23	S0,S1
vASV16.0	v4_hybrid_development/truth/references/vASV16.0.fasta	66444	57	S0,S1
vASV17.0	v4_hybrid_development/truth/references/vASV17.0.fasta	80103	34	S0,S1
vASV18.0	v4_hybrid_development/truth/references/vASV18.0.fasta	53101	31	S0,S1
vASV19.0	v4_hybrid_development/truth/references/vASV19.0.fasta	691880	20	S0,S1
vASV2.0	v4_hybrid_development/truth/references/vASV2.0.fasta	36499	16	S0,S1
vASV20.0	v4_hybrid_development/truth/references/vASV20.0.fasta	113643	111	S0,S1
vASV21.0	v4_hybrid_development/truth/references/vASV21.0.fasta	142021	32	S0,S1
vASV22.0	v4_hybrid_development/truth/references/vASV22.0.fasta	63992	58	S0,S1
vASV23.0	v4_hybrid_development/truth/references/vASV23.0.fasta	44980	4	S0,S1
vASV24.0	v4_hybrid_development/truth/references/vASV24.0.fasta	22508	7	S0,S1
vASV25.0	v4_hybrid_development/truth/references/vASV25.0.fasta	12051	2	S0,S1
vASV26.0	v4_hybrid_development/truth/references/vASV26.0.fasta	56662	6	S0,S1
vASV27.0	v4_hybrid_development/truth/references/vASV27.0.fasta	99029	8	S0,S1
vASV28.0	v4_hybrid_development/truth/references/vASV28.0.fasta	46811	54	S0,S1
vASV29.0	v4_hybrid_development/truth/references/vASV29.0.fasta	154531	2	S0,S1
vASV3.0	v4_hybrid_development/truth/references/vASV3.0.fasta	56586	20	S0,S1
vASV30.0	v4_hybrid_development/truth/references/vASV30.0.fasta	24946	79	S0,S1
vASV31.0	v4_hybrid_development/truth/references/vASV31.0.fasta	54456	51	S0,S1
vASV32.0	v4_hybrid_development/truth/references/vASV32.0.fasta	262704	19	S0,S1
vASV33.0	v4_hybrid_development/truth/references/vASV33.0.fasta	65157	58	S0,S1
vASV34.0	v4_hybrid_development/truth/references/vASV34.0.fasta	62440	67	S0,S1
vASV35.0	v4_hybrid_development/truth/references/vASV35.0.fasta	39383	2	S0,S1
vASV36.0	v4_hybrid_development/truth/references/vASV36.0.fasta	13690	2	S0,S1
vASV37.0	v4_hybrid_development/truth/references/vASV37.0.fasta	21702	68	S0,S1
vASV38.0	v4_hybrid_development/truth/references/vASV38.0.fasta	24392	73	S0,S1
vASV39.0	v4_hybrid_development/truth/references/vASV39.0.fasta	51463	28	S0,S1
vASV4.0	v4_hybrid_development/truth/references/vASV4.0.fasta	88381	3	S0,S1
vASV40.0	v4_hybrid_development/truth/references/vASV40.0.fasta	270751	211	S0,S1
vASV41.0	v4_hybrid_development/truth/references/vASV41.0.fasta	19466	70	S0,S1
vASV42.0	v4_hybrid_development/truth/references/vASV42.0.fasta	230318	191	S0,S1
vASV43.0	v4_hybrid_development/truth/references/vASV43.0.fasta	286036	258	S0,S1
vASV44.0	v4_hybrid_development/truth/references/vASV44.0.fasta	65146	13	S0,S1
vASV45.0	v4_hybrid_development/truth/references/vASV45.0.fasta	38022	39	S0,S1
vASV46.0	v4_hybrid_development/truth/references/vASV46.0.fasta	27468	56	S0,S1
vASV47.0	v4_hybrid_development/truth/references/vASV47.0.fasta	297771	235	S0,S1
vASV48.0	v4_hybrid_development/truth/references/vASV48.0.fasta	50965	79	S0,S1
vASV49.0	v4_hybrid_development/truth/references/vASV49.0.fasta	75566	71	S0,S1
vASV5.0	v4_hybrid_development/truth/references/vASV5.0.fasta	74402	2	S0,S1
vASV50.0	v4_hybrid_development/truth/references/vASV50.0.fasta	60681	24	S0,S1
vASV51.0	v4_hybrid_development/truth/references/vASV51.0.fasta	112796	337	S0,S1
vASV52.0	v4_hybrid_development/truth/references/vASV52.0.fasta	53139	14	S0,S1
vASV53.0	v4_hybrid_development/truth/references/vASV53.0.fasta	164897	112	S0,S1
vASV54.0	v4_hybrid_development/truth/references/vASV54.0.fasta	5456	10	S0,S1
vASV55.0	v4_hybrid_development/truth/references/vASV55.0.fasta	237118	248	S0,S1
vASV56.0	v4_hybrid_development/truth/references/vASV56.0.fasta	297964	10	S0,S1
vASV57.0	v4_hybrid_development/truth/references/vASV57.0.fasta	88696	19	S0,S1
vASV58.0	v4_hybrid_development/truth/references/vASV58.0.fasta	153717	2	S0,S1
vASV59.0	v4_hybrid_development/truth/references/vASV59.0.fasta	563350	185	S0,S1
vASV6.0	v4_hybrid_development/truth/references/vASV6.0.fasta	49551	53	S0,S1
vASV60.0	v4_hybrid_development/truth/references/vASV60.0.fasta	229278	2	S0,S1
vASV61.0	v4_hybrid_development/truth/references/vASV61.0.fasta	76883	11	S0,S1
vASV62.0	v4_hybrid_development/truth/references/vASV62.0.fasta	59862	105	S0,S1
vASV63.0	v4_hybrid_development/truth/references/vASV63.0.fasta	63567	2	S0,S1
vASV64.0	v4_hybrid_development/truth/references/vASV64.0.fasta	174700	429	S0,S1
vASV65.0	v4_hybrid_development/truth/references/vASV65.0.fasta	148362	508	S0,S1
vASV66.0	v4_hybrid_development/truth/references/vASV66.0.fasta	76054	71	S0,S1
