assembly_contig	length	n_genome_ids	primary_genome	primary_aligned_bp	secondary_genome	secondary_aligned_bp	chimera_threshold_bp	cross_binid_chimera	has_accepted_alignment
BASE_00000028	1356	2	ASV507.0	1356	ASV507.1	963	1000	false	true
BASE_00000029	1084	2	ASV476.8	1084	ASV486.6	1080	1000	true	true
BASE_00000030	1293	1	vASV29.0	1293		0	1000	false	true
BASE_00000031	1239	1	ASV300.8	1239		0	1000	false	true
BASE_00000032	2061	1	ASV487.10	2061		0	1000	false	true
BASE_00000033	1115	1	hvASV35.2	1115		0	1000	false	true
BASE_00000034	1112	1	ASV300.8	1112		0	1000	false	true
BASE_00000035	2587	2	ASV153.8	2587	ASV102.10	2587	1000	true	true
BASE_00000036	3479	1	ASV487.10	3479		0	1000	false	true
BASE_00000037	1292	1	ASV300.8	1292		0	1000	false	true
BASE_00000038	2342	2	ASV476.8	2342	ASV486.6	2332	1000	true	true
BASE_00000039	2104	3	ASV507.1	2104	ASV507.3	2038	1000	true	true
BASE_00000040	1519	1	ASV387.0	1519		0	1000	false	true
BASE_00000041	3118	2	ASV153.8	3118	ASV102.10	3118	1000	true	true
BASE_00000042	2639	2	ASV153.8	2639	ASV102.10	2589	1000	true	true
BASE_00000043	2494	2	ASV476.8	2487	ASV486.6	2482	1000	true	true
BASE_00000044	1324	1	ASV300.8	1324		0	1000	false	true
BASE_00000045	2519	1	ASV579.0	2519		0	1000	false	true
BASE_00000046	1792	1	ASV102.10	1792		0	1000	false	true
BASE_00000047	1156	1	ASV102.10	1156		0	1000	false	true
BASE_00000048	1964	2	ASV486.6	1964	ASV476.8	1964	1000	true	true
BASE_00000049	1965	1	ASV487.10	1965		0	1000	false	true
BASE_00000050	1768	1	ASV487.10	1768		0	1000	false	true
BASE_00000051	1124	1	ASV300.8	1124		0	1000	false	true
BASE_00000052	1532	2	ASV486.6	1532	ASV476.8	1532	1000	true	true
BASE_00000053	1040	1	ASV507.0	1040		0	1000	false	true
BASE_00000054	1075	2	ASV486.6	1075	ASV476.8	1075	1000	true	true
BASE_00000055	1923	1	ASV387.0	1923		0	1000	false	true
BASE_00000056	4083	1	ASV487.10	4083		0	1000	false	true
BASE_00000057	2287	2	ASV507.9	2287	ASV507.11	2284	1000	true	true
BASE_00000058	1058	2	ASV507.3	771	ASV507.0	755	1000	false	true
BASE_00000059	1346	1	ASV487.10	1346		0	1000	false	true
BASE_00000060	2297	2	ASV153.8	2297	ASV102.10	2297	1000	true	true
BASE_00000061	1674	2	ASV507.9	1674	ASV507.0	1549	1000	true	true
BASE_00000062	2574	1	ASV387.0	2574		0	1000	false	true
BASE_00000063	5739	1	ASV102.10	5739		0	1000	false	true
BASE_00000064	1989	2	ASV102.10	1989	ASV153.8	1981	1000	true	true
BASE_00000065	3260	2	ASV486.6	3260	ASV476.8	3260	1000	true	true
BASE_00000066	2632	1	ASV102.10	2632		0	1000	false	true
BASE_00000067	3340	1	ASV487.10	3186		0	1000	false	true
BASE_00000068	1269	1	ASV102.10	1256		0	1000	false	true
BASE_00000069	1338	2	ASV486.6	1338	ASV476.8	1338	1000	true	true
BASE_00000070	1063	1	ASV387.0	1063		0	1000	false	true
BASE_00000071	2231	2	ASV153.8	2231	ASV102.10	2231	1000	true	true
BASE_00000072	1134	2	ASV507.9	1134	ASV507.11	1134	1000	true	true
BASE_00000073	1245	2	ASV486.6	1245	ASV476.8	1245	1000	true	true
BASE_00000074	1526	2	ASV486.6	1526	ASV476.8	1526	1000	true	true
BASE_00000075	1160	2	ASV507.9	689	ASV507.11	679	1000	false	true
BASE_00000076	1519	1	ASV300.8	1519		0	1000	false	true
BASE_00000077	2560	2	ASV153.8	2560	ASV102.10	2560	1000	true	true
BASE_00000078	2533	2	ASV486.6	2533	ASV476.8	2533	1000	true	true
BASE_00000079	2796	2	ASV486.6	2796	ASV476.8	2705	1000	true	true
BASE_00000080	1534	1	ASV579.0	1534		0	1000	false	true
BASE_00000081	1052	1	ASV487.10	1052		0	1000	false	true
BASE_00000082	3936	2	ASV153.8	3936	ASV102.10	3936	1000	true	true
BASE_00000083	1670	1	ASV102.10	1670		0	1000	false	true
BASE_00000084	3502	1	ASV487.10	3501		0	1000	false	true
BASE_00000085	1414	1	ASV300.8	1414		0	1000	false	true
BASE_00000086	1671	1	ASV507.1	1671		0	1000	false	true
BASE_00000087	1682	1	ASV102.10	1682		0	1000	false	true
BASE_00000088	6609	1	ASV387.0	6609		0	1000	false	true
BASE_00000089	1512	1	ASV399.6	1512		0	1000	false	true
BASE_00000090	1108	2	ASV507.11	1108	ASV507.9	1091	1000	true	true
BASE_00000091	1506	1	ASV579.0	1506		0	1000	false	true
BASE_00000092	1286	1	ASV406.4	1286		0	1000	false	true
BASE_00000093	1108	1	ASV300.2	1108		0	1000	false	true
BASE_00000094	2484	1	ASV387.0	2484		0	1000	false	true
BASE_00000095	1168	1	ASV507.9	1168		0	1000	false	true
BASE_00000096	1258	1	ASV300.8	1258		0	1000	false	true
BASE_00000097	3459	1	ASV102.10	3459		0	1000	false	true
BASE_00000098	1830	1	ASV102.10	1830		0	1000	false	true
BASE_00000099	7859	1	ASV487.10	7859		0	1000	false	true
BASE_00000100	1412	1	ASV300.8	1412		0	1000	false	true
BASE_00000101	3592	1	ASV387.0	3592		0	1000	false	true
BASE_00000102	1257	2	ASV102.10	1257	ASV153.8	1255	1000	true	true
BASE_00000103	1548	2	ASV507.9	1548	ASV507.11	1548	1000	true	true
BASE_00000104	1234	1	ASV579.0	1234		0	1000	false	true
BASE_00000105	1579	2	ASV406.4	1542	ASV399.6	1533	1000	true	true
BASE_00000106	1494	1	ASV487.10	1494		0	1000	false	true
BASE_00000107	10700	1	ASV387.0	10700		0	1070	false	true
BASE_00000108	2045	1	ASV102.10	2045		0	1000	false	true
BASE_00000109	2659	3	ASV507.1	2347	ASV507.3	2296	1000	true	true
BASE_00000110	1639	2	ASV486.6	1639	ASV476.8	1639	1000	true	true
BASE_00000111	2696	1	ASV102.10	2696		0	1000	false	true
BASE_00000112	2220	2	ASV153.8	2220	ASV102.10	2220	1000	true	true
BASE_00000113	1319	1	ASV399.6	1319		0	1000	false	true
BASE_00000114	2531	1	ASV579.0	2531		0	1000	false	true
BASE_00000115	1040	1	ASV579.0	1040		0	1000	false	true
BASE_00000116	1556	1	ASV102.10	1556		0	1000	false	true
BASE_00000117	1122	2	ASV486.6	1122	ASV476.8	1122	1000	true	true
BASE_00000118	1923	1	ASV487.10	1923		0	1000	false	true
BASE_00000119	1009	1	ASV266.11	1009		0	1000	false	true
BASE_00000120	1244	2	ASV153.8	1244	ASV102.10	1244	1000	true	true
BASE_00000121	1416	1	ASV507.1	1402		0	1000	false	true
BASE_00000122	2949	1	ASV579.0	2845		0	1000	false	true
BASE_00000123	2370	2	ASV486.6	2370	ASV476.8	2370	1000	true	true
BASE_00000124	1069	2	ASV507.3	1069	ASV507.1	1061	1000	true	true
BASE_00000125	1831	2	ASV486.6	1831	ASV476.8	1831	1000	true	true
BASE_00000126	1108	1	ASV476.8	1108		0	1000	false	true
BASE_00000127	2658	1	ASV174.18	2658		0	1000	false	true
BASE_00000128	1119	1	vASV60.0	1119		0	1000	false	true
BASE_00000129	2198	5	ASV507.0	1355	ASV507.3	1296	1000	true	true
BASE_00000130	1256	3	ASV507.3	1252	ASV507.11	1252	1000	true	true
BASE_00000131	7384	1	ASV387.0	7384		0	1000	false	true
BASE_00000132	1504	1	ASV476.8	1504		0	1000	false	true
BASE_00000133	1051	2	ASV486.6	1051	ASV476.8	1051	1000	true	true
BASE_00000134	1394	1	ASV300.8	1394		0	1000	false	true
BASE_00000135	2366	1	ASV487.10	2366		0	1000	false	true
BASE_00000136	1085	1	ASV266.11	1085		0	1000	false	true
BASE_00000137	1498	2	ASV153.8	1498	ASV102.10	1498	1000	true	true
BASE_00000138	7914	1	ASV387.0	7914		0	1000	false	true
BASE_00000139	1133	2	ASV507.9	1133	ASV507.11	1133	1000	true	true
BASE_00000140	1312	3	ASV507.3	1312	ASV507.1	1312	1000	true	true
BASE_00000141	1021	1	ASV300.8	1021		0	1000	false	true
BASE_00000142	1172	1	ASV102.10	1172		0	1000	false	true
BASE_00000143	1437	1	ASV300.8	1437		0	1000	false	true
BASE_00000144	1107	1	ASV102.10	1107		0	1000	false	true
BASE_00000145	50246	1	ASV149.0	50246		0	5024	false	true
BASE_00000146	3537	1	ASV507.11	3537		0	1000	false	true
BASE_00000147	1180	2	ASV507.11	957	ASV507.9	765	1000	false	true
BASE_00000148	1196	1	ASV579.0	1196		0	1000	false	true
BASE_00000149	1514	2	ASV507.3	1514	ASV507.1	1514	1000	true	true
BASE_00000150	2367	1	ASV102.10	2367		0	1000	false	true
BASE_00000151	1173	1	ASV507.1	1173		0	1000	false	true
BASE_00000152	1656	2	ASV507.11	1630	ASV507.9	1621	1000	true	true
BASE_00000153	1007	1	ASV507.0	1007		0	1000	false	true
BASE_00000154	1297	3	ASV507.3	1297	ASV507.1	1297	1000	true	true
BASE_00000155	1005	2	ASV507.3	1005	ASV507.1	1005	1000	true	true
BASE_00000156	1236	1	ASV579.0	1236		0	1000	false	true
BASE_00000157	1882	2	ASV153.8	1868	ASV102.10	1868	1000	true	true
BASE_00000158	1432	3	ASV507.0	1432	ASV507.1	1095	1000	true	true
BASE_00000159	2404	2	ASV153.8	2404	ASV102.10	2259	1000	true	true
BASE_00000160	2289	2	ASV153.8	2289	ASV102.10	2289	1000	true	true
BASE_00000161	1055	2	ASV476.8	1055	ASV486.6	1041	1000	true	true
BASE_00000162	1847	1	ASV387.0	1847		0	1000	false	true
BASE_00000163	1092	1	ASV406.4	1092		0	1000	false	true
BASE_00000164	2214	2	ASV507.3	1784	ASV507.1	1784	1000	true	true
BASE_00000165	1199	2	ASV486.6	1199	ASV476.8	1199	1000	true	true
BASE_00000166	2349	1	ASV300.8	2349		0	1000	false	true
BASE_00000167	3550	2	ASV153.8	3550	ASV102.10	3550	1000	true	true
BASE_00000168	6425	1	ASV487.10	6425		0	1000	false	true
BASE_00000169	1663	1	ASV399.6	1663		0	1000	false	true
BASE_00000170	1875	1	ASV102.10	1875		0	1000	false	true
BASE_00000171	1549	1	ASV102.10	1549		0	1000	false	true
BASE_00000172	1034	2	ASV507.1	1034	ASV507.3	1029	1000	true	true
BASE_00000173	2272	1	ASV300.8	2272		0	1000	false	true
BASE_00000174	1650	2	ASV486.6	1650	ASV476.8	1650	1000	true	true
BASE_00000175	1031	2	ASV153.8	1031	ASV102.10	1031	1000	true	true
BASE_00000176	1356	1	ASV300.8	1356		0	1000	false	true
BASE_00000177	1159	1	ASV507.11	1159		0	1000	false	true
BASE_00000178	1150	1	ASV300.8	1150		0	1000	false	true
BASE_00000179	3807	3	ASV507.1	3796	ASV507.3	3757	1000	true	true
BASE_00000180	1898	1	ASV102.10	1898		0	1000	false	true
BASE_00000181	1103	2	fASV196.1	1103	fASV195.4	1089	1000	true	true
BASE_00000182	2175	1	ASV300.8	2175		0	1000	false	true
BASE_00000183	1150	1	ASV507.1	1150		0	1000	false	true
BASE_00000184	1507	2	ASV486.6	1507	ASV476.8	1507	1000	true	true
BASE_00000185	1055	1	ASV487.10	1055		0	1000	false	true
BASE_00000186	5178	1	ASV487.10	5178		0	1000	false	true
BASE_00000187	1576	1	ASV579.0	1576		0	1000	false	true
BASE_00000188	1212	1	ASV150.14	1212		0	1000	false	true
BASE_00000189	2916	1	ASV300.8	2916		0	1000	false	true
BASE_00000190	4125	2	ASV153.8	4125	ASV102.10	4125	1000	true	true
BASE_00000191	1061	2	fASV196.1	640	fASV195.4	640	1000	false	true
BASE_00000192	1058	1	ASV406.4	1058		0	1000	false	true
BASE_00000193	2074	2	ASV507.11	1712	ASV507.9	1682	1000	true	true
BASE_00000194	1081	1	ASV300.8	1081		0	1000	false	true
BASE_00000195	2666	2	ASV153.8	2666	ASV102.10	2666	1000	true	true
BASE_00000196	1026	1	ASV399.6	1026		0	1000	false	true
BASE_00000197	1798	1	ASV102.10	1798		0	1000	false	true
BASE_00000198	1125	1	ASV476.8	1125		0	1000	false	true
BASE_00000199	1146	2	ASV507.9	1146	ASV507.11	1136	1000	true	true
BASE_00000200	1327	2	ASV507.9	1327	ASV507.11	1327	1000	true	true
BASE_00000201	2366	1	ASV579.0	2366		0	1000	false	true
BASE_00000202	2031	1	ASV102.10	2031		0	1000	false	true
BASE_00000203	1344	4	ASV507.3	1344	ASV406.4	1344	1000	true	true
BASE_00000204	2099	2	ASV153.8	2099	ASV102.10	2099	1000	true	true
BASE_00000205	2461	1	ASV487.10	2421		0	1000	false	true
BASE_00000206	1289	1	ASV487.10	1289		0	1000	false	true
BASE_00000207	1871	2	ASV507.9	1871	ASV507.11	1451	1000	true	true
BASE_00000208	1265	2	ASV102.10	1214	ASV153.8	1211	1000	true	true
BASE_00000209	1106	1	ASV579.0	1106		0	1000	false	true
BASE_00000210	1633	2	ASV486.6	1633	ASV476.8	1630	1000	true	true
BASE_00000211	1126	1	ASV387.0	1126		0	1000	false	true
BASE_00000212	1328	2	ASV153.8	1328	ASV102.10	1328	1000	true	true
BASE_00000213	1021	2	ASV507.9	1021	ASV507.11	952	1000	false	true
BASE_00000214	3423	1	ASV487.10	3423		0	1000	false	true
BASE_00000215	2674	2	ASV153.8	2674	ASV102.10	2674	1000	true	true
BASE_00000216	1769	1	ASV487.10	1769		0	1000	false	true
BASE_00000217	2158	1	ASV507.11	2158		0	1000	false	true
BASE_00000218	1072	2	fASV196.1	1072	fASV195.4	1072	1000	true	true
BASE_00000219	6708	1	ASV387.0	6708		0	1000	false	true
BASE_00000220	1119	1	ASV300.2	1119		0	1000	false	true
BASE_00000221	1469	1	ASV300.8	1469		0	1000	false	true
BASE_00000222	1749	1	ASV507.9	1749		0	1000	false	true
BASE_00000223	3806	1	ASV487.10	3806		0	1000	false	true
BASE_00000224	2147	2	ASV150.14	2147	ASV102.10	2147	1000	true	true
BASE_00000225	3814	1	ASV487.10	3814		0	1000	false	true
BASE_00000226	1863	1	ASV300.8	1863		0	1000	false	true
BASE_00000227	1108	2	ASV507.9	1108	ASV507.11	1108	1000	true	true
BASE_00000228	1154	2	ASV476.8	1154	ASV486.6	1148	1000	true	true
BASE_00000229	1830	2	ASV486.6	1830	ASV476.8	1830	1000	true	true
BASE_00000230	1829	1	ASV102.10	1829		0	1000	false	true
BASE_00000231	1050	1	ASV300.8	1050		0	1000	false	true
BASE_00000232	2008	2	ASV153.8	2008	ASV102.10	2008	1000	true	true
BASE_00000233	1009	1	ASV426.8	1009		0	1000	false	true
BASE_00000234	1216	2	ASV486.6	1216	ASV476.8	1216	1000	true	true
BASE_00000235	2270	1	ASV507.1	2053		0	1000	false	true
BASE_00000236	1161	2	ASV476.8	1161	ASV486.6	985	1000	false	true
BASE_00000237	1439	1	ASV300.8	1439		0	1000	false	true
BASE_00000238	1069	2	ASV486.6	1069	ASV476.8	1069	1000	true	true
BASE_00000239	4217	2	ASV507.9	4217	ASV507.11	4217	1000	true	true
BASE_00000240	2187	2	ASV507.11	2187	ASV507.9	2161	1000	true	true
BASE_00000241	1896	1	ASV579.0	1896		0	1000	false	true
BASE_00000242	5225	2	ASV406.4	5214	ASV487.10	3981	1000	true	true
BASE_00000243	1670	1	ASV579.0	1670		0	1000	false	true
BASE_00000244	1154	2	ASV507.11	1127	ASV507.9	949	1000	false	true
BASE_00000245	1254	2	ASV507.3	1254	ASV507.1	1254	1000	true	true
BASE_00000246	1914	1	ASV579.0	1914		0	1000	false	true
BASE_00000247	1088	1	ASV406.4	1088		0	1000	false	true
BASE_00000248	1914	1	ASV387.0	1914		0	1000	false	true
BASE_00000249	5850	1	ASV387.0	5850		0	1000	false	true
BASE_00000250	1704	2	ASV507.11	1688	ASV507.9	1619	1000	true	true
BASE_00000251	1735	2	ASV153.8	1735	ASV102.10	1735	1000	true	true
BASE_00000252	2936	2	ASV507.11	2810	ASV507.9	2737	1000	true	true
BASE_00000253	1470	1	ASV387.0	1470		0	1000	false	true
BASE_00000254	2069	1	ASV387.0	2069		0	1000	false	true
BASE_00000255	1102	1	ASV266.11	1102		0	1000	false	true
BASE_00000256	2417	1	ASV387.0	2417		0	1000	false	true
BASE_00000257	1028	1	ASV399.6	1028		0	1000	false	true
BASE_00000258	1004	1	ASV406.4	1004		0	1000	false	true
BASE_00000259	1723	2	ASV486.6	1723	ASV476.8	1723	1000	true	true
BASE_00000260	1851	1	ASV102.10	1851		0	1000	false	true
BASE_00000261	3400	2	ASV153.8	3400	ASV102.10	3400	1000	true	true
BASE_00000262	3873	2	ASV102.10	3873	ASV153.8	3480	1000	true	true
BASE_00000263	1102	2	ASV476.8	1102	ASV486.6	1091	1000	true	true
BASE_00000264	2760	1	ASV487.10	1886		0	1000	false	true
BASE_00000265	1005	1	ASV579.0	1005		0	1000	false	true
BASE_00000266	1941	1	ASV300.8	1941		0	1000	false	true
BASE_00000267	1233	2	ASV507.9	1226	ASV507.11	1223	1000	true	true
BASE_00000268	4518	2	ASV507.9	4203	ASV507.11	4203	1000	true	true
BASE_00000269	4133	2	ASV507.11	4133	ASV507.9	4108	1000	true	true
BASE_00000270	1163	1	ASV102.10	1163		0	1000	false	true
BASE_00000271	3263	1	ASV387.0	3263		0	1000	false	true
BASE_00000272	5778	2	ASV507.11	5778	ASV507.9	5375	1000	true	true
BASE_00000273	3433	1	ASV487.10	3433		0	1000	false	true
BASE_00000274	3273	1	ASV487.10	3273		0	1000	false	true
BASE_00000275	1594	1	ASV507.11	1548		0	1000	false	true
BASE_00000276	1363	1	ASV579.0	1363		0	1000	false	true
BASE_00000277	1663	1	ASV300.8	1663		0	1000	false	true
BASE_00000278	5698	1	ASV487.10	5698		0	1000	false	true
BASE_00000279	1246	2	ASV507.9	1246	ASV507.11	1225	1000	true	true
BASE_00000280	1616	2	ASV153.8	1616	ASV102.10	1616	1000	true	true
BASE_00000281	1812	1	ASV579.0	1812		0	1000	false	true
BASE_00000282	1644	1	ASV551.0	1644		0	1000	false	true
BASE_00000283	2391	1	ASV507.1	2048		0	1000	false	true
BASE_00000284	1449	1	ASV579.0	1449		0	1000	false	true
BASE_00000285	1455	1	ASV507.1	1455		0	1000	false	true
BASE_00000286	1309	1	ASV476.8	1309		0	1000	false	true
BASE_00000287	1700	2	ASV486.6	1700	ASV476.8	1683	1000	true	true
BASE_00000288	2651	1	ASV487.10	2651		0	1000	false	true
BASE_00000289	2085	1	ASV487.10	2085		0	1000	false	true
BASE_00000290	1119	1	ASV579.0	1119		0	1000	false	true
BASE_00000291	1925	2	ASV102.10	1925	ASV153.8	1916	1000	true	true
BASE_00000292	2566	2	ASV102.10	2566	ASV153.8	2557	1000	true	true
BASE_00000293	1315	1	ASV487.10	1315		0	1000	false	true
BASE_00000294	2484	2	ASV486.6	2484	ASV476.8	2484	1000	true	true
BASE_00000295	1093	1	ASV399.6	1093		0	1000	false	true
BASE_00000296	3548	1	ASV487.10	3548		0	1000	false	true
BASE_00000297	1514	2	ASV486.6	1514	ASV476.8	1514	1000	true	true
BASE_00000298	1777	2	ASV486.6	1777	ASV476.8	1777	1000	true	true
BASE_00000299	2555	1	ASV579.0	2555		0	1000	false	true
BASE_00000300	1345	3	ASV507.1	1307	ASV507.3	1298	1000	true	true
BASE_00000301	1116	1	ASV300.8	1116		0	1000	false	true
BASE_00000302	4685	1	ASV102.10	4685		0	1000	false	true
BASE_00000303	1372	1	ASV266.11	1372		0	1000	false	true
BASE_00000304	1713	1	ASV387.0	1713		0	1000	false	true
BASE_00000305	1846	1	ASV387.0	1846		0	1000	false	true
BASE_00000306	1446	1	ASV102.10	1282		0	1000	false	true
BASE_00000307	1481	1	ASV266.11	1481		0	1000	false	true
BASE_00000308	1053	2	ASV507.9	1053	ASV507.11	1034	1000	true	true
BASE_00000309	1031	1	ASV399.6	1031		0	1000	false	true
BASE_00000310	2298	1	ASV102.10	2298		0	1000	false	true
BASE_00000311	1258	2	ASV476.8	1258	ASV486.6	1243	1000	true	true
BASE_00000312	1004	1	ASV300.8	1004		0	1000	false	true
BASE_00000313	1705	1	ASV102.10	1705		0	1000	false	true
BASE_00000314	1344	1	ASV300.8	1344		0	1000	false	true
BASE_00000315	2922	1	ASV487.10	2922		0	1000	false	true
BASE_00000316	1848	1	ASV476.8	1848		0	1000	false	true
BASE_00000317	1769	1	ASV579.0	1769		0	1000	false	true
BASE_00000318	2001	3	ASV507.1	2001	ASV507.3	1981	1000	true	true
BASE_00000319	6113	1	ASV149.0	6113		0	1000	false	true
BASE_00000320	9459	1	ASV387.0	9459		0	1000	false	true
BASE_00000321	1231	1	ASV487.10	1231		0	1000	false	true
BASE_00000322	2773	2	ASV507.9	2729	ASV507.11	2729	1000	true	true
BASE_00000323	5652	2	ASV153.8	5652	ASV102.10	5652	1000	true	true
BASE_00000324	1405	2	ASV153.8	1405	ASV102.10	1405	1000	true	true
BASE_00000325	1390	1	ASV387.0	1390		0	1000	false	true
BASE_00000326	2448	1	ASV507.9	2448		0	1000	false	true
BASE_00000327	1113	2	ASV507.3	1113	ASV507.1	1113	1000	true	true
BASE_00000328	3937	1	ASV387.0	3937		0	1000	false	true
BASE_00000329	3949	1	ASV300.8	3949		0	1000	false	true
BASE_00000330	1069	1	ASV507.1	1069		0	1000	false	true
BASE_00000331	1304	1	ASV487.10	1304		0	1000	false	true
BASE_00000332	1867	1	ASV387.0	1867		0	1000	false	true
BASE_00000333	1433	2	ASV486.6	1433	ASV476.8	1433	1000	true	true
BASE_00000334	1346	1	ASV487.10	1346		0	1000	false	true
BASE_00000335	1172	1	ASV300.8	1172		0	1000	false	true
BASE_00000336	1314	2	ASV476.8	1314	ASV486.6	1312	1000	true	true
BASE_00000337	1379	1	ASV487.10	1379		0	1000	false	true
BASE_00000338	2252	2	ASV150.14	2252	ASV102.10	2252	1000	true	true
BASE_00000339	4461	2	ASV153.8	4461	ASV102.10	4461	1000	true	true
BASE_00000340	1004	1	ASV579.0	1004		0	1000	false	true
BASE_00000341	1169	2	ASV507.1	1169	ASV507.3	1149	1000	true	true
BASE_00000342	2464	1	ASV507.9	2132		0	1000	false	true
BASE_00000343	2352	1	ASV476.8	2352		0	1000	false	true
BASE_00000344	1352	1	ASV579.0	1352		0	1000	false	true
BASE_00000345	2264	2	ASV153.8	2264	ASV102.10	2264	1000	true	true
BASE_00000346	1009	1	ASV476.8	1009		0	1000	false	true
BASE_00000347	1535	1	ASV300.8	1535		0	1000	false	true
BASE_00000348	8766	1	ASV487.10	8766		0	1000	false	true
BASE_00000349	1185	1	ASV579.0	757		0	1000	false	true
BASE_00000350	1230	1	ASV487.10	1230		0	1000	false	true
BASE_00000351	1613	2	ASV486.6	1613	ASV476.8	1613	1000	true	true
BASE_00000352	1260	2	ASV153.8	1260	ASV102.10	1260	1000	true	true
BASE_00000353	1766	1	ASV507.11	1766		0	1000	false	true
BASE_00000354	1255	1	ASV300.8	1255		0	1000	false	true
BASE_00000355	3250	1	ASV387.0	3250		0	1000	false	true
BASE_00000356	3253	0		0		0	1000	false	false
BASE_00000357	1754	1	ASV300.8	1754		0	1000	false	true
BASE_00000358	1703	2	ASV507.9	1703	ASV507.11	1703	1000	true	true
BASE_00000359	3440	1	ASV487.10	3440		0	1000	false	true
BASE_00000360	1240	2	ASV486.6	1240	ASV476.8	1240	1000	true	true
BASE_00000361	2763	2	ASV507.11	2608	ASV507.9	1254	1000	true	true
BASE_00000362	5562	1	ASV387.0	5562		0	1000	false	true
BASE_00000363	2110	1	ASV300.8	2110		0	1000	false	true
BASE_00000364	1595	2	ASV507.11	1595	ASV507.9	1593	1000	true	true
BASE_00000365	1359	1	ASV102.10	1359		0	1000	false	true
BASE_00000366	1059	3	ASV507.0	1048	ASV507.3	1034	1000	true	true
BASE_00000367	3491	1	ASV300.8	3491		0	1000	false	true
BASE_00000368	1279	1	ASV406.4	1279		0	1000	false	true
BASE_00000369	1021	2	ASV486.6	1021	ASV476.8	1021	1000	true	true
BASE_00000370	1019	1	ASV387.0	1019		0	1000	false	true
BASE_00000371	1179	1	ASV300.8	1179		0	1000	false	true
BASE_00000372	1890	1	ASV579.0	1890		0	1000	false	true
BASE_00000373	1100	2	ASV507.9	1100	ASV507.11	1097	1000	true	true
BASE_00000374	4389	1	ASV387.0	4389		0	1000	false	true
BASE_00000375	4109	1	ASV487.10	4109		0	1000	false	true
BASE_00000376	2272	2	ASV476.8	2272	ASV486.6	2270	1000	true	true
BASE_00000377	1875	1	ASV300.8	1875		0	1000	false	true
BASE_00000378	1524	2	ASV476.8	1524	ASV486.6	1487	1000	true	true
BASE_00000379	4695	1	ASV487.10	4695		0	1000	false	true
BASE_00000380	1125	2	ASV153.8	1125	ASV102.10	1125	1000	true	true
BASE_00000381	1302	3	ASV507.1	1272	ASV507.0	1185	1000	true	true
BASE_00000382	1163	1	ASV300.8	1163		0	1000	false	true
BASE_00000383	1424	2	ASV102.10	1424	ASV153.8	1421	1000	true	true
BASE_00000384	1570	1	ASV300.8	1570		0	1000	false	true
BASE_00000385	1140	1	ASV300.2	1016		0	1000	false	true
BASE_00000386	4041	1	ASV102.10	4041		0	1000	false	true
BASE_00000387	1245	2	ASV507.3	1245	ASV507.1	1245	1000	true	true
BASE_00000388	1173	1	ASV300.8	1173		0	1000	false	true
BASE_00000389	8861	1	ASV487.10	8861		0	1000	false	true
BASE_00000390	1108	3	ASV507.3	1072	ASV507.1	1072	1000	true	true
BASE_00000391	2717	1	ASV102.10	2717		0	1000	false	true
BASE_00000392	2221	1	ASV487.10	2221		0	1000	false	true
BASE_00000393	2676	2	ASV507.11	2366	ASV507.9	2172	1000	true	true
BASE_00000394	1045	1	ASV399.6	1045		0	1000	false	true
