output_id	origin	original_id	length	sequence_sha256
BASE_00000020	baseline	k141_14422	1752	e6c5a74ef077256ca4249d05e8bcd5b3ca00c3f451afa82774e9126936e64950
BASE_00000021	baseline	k141_14424	1074	e81ab5e61192a38d92122cadb5ceb2ae1aad8f99eb916854f3f5d887db3d4f6c
BASE_00000022	baseline	k141_7219	1210	8716bc4a5fc09c70b84e34fde46887bcad0ccae3ce014df8def3d8cca630d87c
BASE_00000023	baseline	k141_18	2824	b030220a5c2256be16a253e5b1e41016faf1da70b2971efa152df3870164c2c2
BASE_00000024	baseline	k141_14428	1223	7f1bce8c37f0d4e56a0d7f5412d5a3e49b52723c9f4b301d41f916bd1601f52a
BASE_00000025	baseline	k141_7222	2282	bc6838f0a3210f600e4ce443d86997eea826fd38ce583eea3d082fc98eae35d2
BASE_00000026	baseline	k141_14431	1228	b8963f00b304a56cb95ac2958f4d4f8596155dac3f6d508fe54f84834482b788
BASE_00000027	baseline	k141_23	1362	bad1d87fd1b62bdff0610b4457e5a51b8d22644e669ea1f670a6ac514ce07ea0
BASE_00000028	baseline	k141_21639	1356	10318f05bbb56cbb9aa99a7b931739202a5be89d83d1a9633e5d1c10c47756ab
BASE_00000029	baseline	k141_24	1084	80382595dc5ad308bff1e0c7b60b3d25103749fe61696563f4c61f8154ca6902
BASE_00000030	baseline	k141_7229	1293	a0e9858e3899490b0262cf009d4b2eeb3543e45657f09a7543ffa971ad015894
BASE_00000031	baseline	k141_14435	1239	60054068a9b5fa380168867c28320c02970e777ff65995b63f7c7bcf27c755b0
BASE_00000032	baseline	k141_25	2061	f05bf116d89f1ec340609a663f59174f7960bc133231d1bb8a8288824d2e1e37
BASE_00000033	baseline	k141_21644	1115	ffdcb721b0a69cf28e3dad14d136401df7661304a42f22f0726d177bc1c69110
BASE_00000034	baseline	k141_21646	1112	cbdb197438b50d9a38c73a99d2d848475a120ec740dd6c5df496fa6177bc8cb6
BASE_00000035	baseline	k141_14437	2587	8554e2336c24978c9396ef3ee3e86881fdd87204a4617457496074e2168ef725
BASE_00000036	baseline	k141_26	3479	656f6251c5caf3efe2af4371b5f43914d7017212512ea48314599436427ade6b
BASE_00000037	baseline	k141_21648	1292	3ad30858e676455661f5a808c6bf9e1d2a5efc4b92262b355456ad69bc4327d9
BASE_00000038	baseline	k141_7234	2342	ca33f6728fc1b6b9c1c37ab0446bf96d47ee7aeb5955e1e1cb8c4df8e7a835e2
BASE_00000039	baseline	k141_27	2104	2a89b551064ceeb291dfe876d3fed74950a8dc07178deb586ed02f86040dbcd4
BASE_00000040	baseline	k141_7236	1519	858b8e6ea40505b627885164598e994924179bdaf86b69a0fdd5a5306aa5ab2f
BASE_00000041	baseline	k141_21649	3118	860d8cb18055e6abd5a86c88b4a64bea34661eb2920ea676ab5186b45c35aec3
BASE_00000042	baseline	k141_14442	2639	4e148a9bb2918fbe6c097da08cfce656c80599b2abd4cbd5ecd26e3789778aad
BASE_00000043	baseline	k141_7237	2494	856417e2ae03412800f0d082cc744e45641a5eb6e979595c9cbe5d9b5174fbd5
BASE_00000044	baseline	k141_14443	1324	5da0a91764e7436405b80f92617747da9dfac2095006b6446bc3d7357c54605a
BASE_00000045	baseline	k141_21651	2519	41a447820a51eb1e472b7c6e81b1584c48ec99f10db8305768761d679a61ce10
BASE_00000046	baseline	k141_7238	1792	dff66b4bc0cf3501c111a6915e988179535a2d2fb40720b27bd431d9d82a34cc
BASE_00000047	baseline	k141_35	1156	058fb567e500c9cb7a3c158a5d572b45cab247b2978c7d59ad67aee232060638
BASE_00000048	baseline	k141_21652	1964	c85622505d5e382736ff3a906eaf8d5509f6b95b0685d0edcd140ca154cedec3
BASE_00000049	baseline	k141_14447	1965	d1dceaa77684cca688f85d12a72bf5afa2d3e2463de94a02729e9b190c349c60
BASE_00000050	baseline	k141_7243	1768	0709b5047f239eca1e4d71ffccc41ab3acec9a1ea2cf34ab30790dd66940494d
BASE_00000051	baseline	k141_7244	1124	649fa86aee4c72a7080096ef37e187530575bd73563a2a83c96a1373c60d7ac7
BASE_00000052	baseline	k141_21655	1532	b23a1b7b6c0f19ebbe39545ed9274ae5c25759f358161013ffcd584204c7d7b0
BASE_00000053	baseline	k141_14450	1040	2df9e4d12775b0f813a302437a492e64c2dc37baf01afec76338d9d4dd8d660e
BASE_00000054	baseline	k141_7246	1075	c04d6972809f936acf6df5cc0d482d15a0b52b1078adff83b7dcf87c1d8e4c4e
BASE_00000055	baseline	k141_21656	1923	670f9029deda9b45ca87b0712c88ff722947a03236a3964c2b282328fce9fc7b
BASE_00000056	baseline	k141_41	4083	f35bb90db8a0fcf25e8baf68077d31af141fd7150ad2725b9a8fd26c55ba00e0
BASE_00000057	baseline	k141_14453	2287	a249e5dbe9490c50a29dbeac3b4763923c50326684b81f249d82284a40948c79
BASE_00000058	baseline	k141_21660	1058	ced14fd3c115d8ee78e4ee5064b5b6920ff3c27f0c21020dba4672ff520a5a2b
BASE_00000059	baseline	k141_14454	1346	33b0641fa4b92f28ba6deb966caeb3b055c8f91a1b129385372d2957f60afaf9
BASE_00000060	baseline	k141_44	2297	bdcfc06bf5072d090f2bf4681bec9cedf8bdf45c3b01f9177550d15c5746b0ae
BASE_00000061	baseline	k141_14455	1674	678f73a3706557edd9b5faf7df5f1f4756fbaccca2273b5e17f9e4d206fe1c6a
BASE_00000062	baseline	k141_45	2574	da36f16c11b9734ad9a8174d028064311d53b5d9f6e2a3d63136b0c7325a78e2
BASE_00000063	baseline	k141_7248	5739	e865358b6be6fe8c4c32ba55d1132bf94a1914fbb893e629d21bd226d3faa64d
BASE_00000064	baseline	k141_7252	1989	58bb24208305ad237c887031d6e1cc706924f889b55ac66c2f0c3d01a0fbdbe1
BASE_00000065	baseline	k141_21670	3260	ce5d9568c600b5bbbc911653c7dd9b255cca69a051ad226edddede8b8d5621f4
BASE_00000066	baseline	k141_50	2632	0d8849967e50aa59b41d7b3666cb81a944b5de8d9689787488c9ae3a6f84729e
BASE_00000067	baseline	k141_14463	3340	2d724efa31a0db00b4ae57f630b8f0681ebf2b8082ef204d54cbfd542377ebad
BASE_00000068	baseline	k141_51	1269	1a1734db9bc34d784911d7ad22a6f533a5a0dc5733a1464dddc8c88cb407954a
BASE_00000069	baseline	k141_7256	1338	623ce7b91a4a9e5645a74a0140d420a7fad13587f1cac16cb662136bee4db7d5
BASE_00000070	baseline	k141_14464	1063	191154e8d4c494789b20b5690a092adaeb96e7face144e8c882915c252547c38
BASE_00000071	baseline	k141_21673	2231	63a5e06480a7c3a79655d54b0a392a61c33f2e4b4f2d7c1638243028ff4255ec
BASE_00000072	baseline	k141_14466	1134	493117364eff335384ee57b7bbba5839bf11e095129e67b772608532aeccebba
BASE_00000073	baseline	k141_55	1245	fe57e14569c4f65f16a73484124431d0baff3d7b6d3748765c270ece94ce1ea6
BASE_00000074	baseline	k141_7260	1526	878fc730915f6aa49f0a787932f61ac203d9d16ccb1c19be8ab6f54e9b0b61e8
BASE_00000075	baseline	k141_56	1160	6a1beafd447a7a03a53041bb41fc46efbbf494f120672f2c484d881cb6b40c91
BASE_00000076	baseline	k141_7262	1519	2e08b5222d8b6c522fc4e68877926b687fdaf73f735e115d9a26b6fab603b613
BASE_00000077	baseline	k141_14469	2560	63b32a6c3365492f5ec40f685ac7cabab63dc3425a7cfd0cab79afd0d3601716
BASE_00000078	baseline	k141_7263	2533	6db47c416f978b6754ba63f640b14d8e31888b250e66b07c6cb5c06f9a86c8bb
BASE_00000079	baseline	k141_21681	2796	298affcc28d49627e8739153a7ff16d9834c631b087a931fe583cc5ccc0c1608
BASE_00000080	baseline	k141_63	1534	a458816696cb9be3782be297178867cc2dde83b2367bfc92805f5a3209db9082
BASE_00000081	baseline	k141_21685	1052	5a22156d343ce3996616298f396a1b1998561ebbf358a8d6aca378e4af771fdd
BASE_00000082	baseline	k141_7264	3936	2174d7c2b405b04250e51eab6dcf3f3bd1febe38226dd8f301da0d14177dfe43
BASE_00000083	baseline	k141_21686	1670	94becffa10afa54b5965006e36972c9db11a025b1ecb09a334100865a5d0ee96
BASE_00000084	baseline	k141_64	3502	fcd9767552f504a6f359546a31f4e211eb1d083955457b1b687c327fae9486df
BASE_00000085	baseline	k141_67	1414	81df5054e480abc9e5d86ec6b36a3008f4de4d078cd006b57e67248df00a8894
BASE_00000086	baseline	k141_21689	1671	db28a5ee11bd85b539f2b30f0883799d9a59a32fd0a193fb4ce8bc738c01e74f
BASE_00000087	baseline	k141_7269	1682	1008d19c772b01ce24a02735f78f6ab9b09259f91356d2c77a5f1ffa9cfc29b9
BASE_00000088	baseline	k141_14477	6609	b988e4c8ee68c054dc58f9f0ce71d39705fe96f5d5214ac4c01c2577a2d1e7e6
BASE_00000089	baseline	k141_21693	1512	ae68b9e0e01802f15ac8391a2fbf845b619bc1ed71fee92c5fd7e6a1bb78a09f
BASE_00000090	baseline	k141_7272	1108	9b5675b59929497e61dede9fcadb8c2cb2b00cd568b675ef8fed3cd939938d72
BASE_00000091	baseline	k141_14479	1506	1aa102ebfb8504d9ae6832f57c9e77fae596b70d58badaff2da42fcf67b6a680
BASE_00000092	baseline	k141_7274	1286	e3810f3836b0ce27abcd605cb96d7565ff8c1dcf3aab4e15e9a32a0e1c3fead7
BASE_00000093	baseline	k141_21696	1108	eb1f995b2f60d5f1c0b474a0feb2eb44ae0a7349504d5f374532a2f38f8d9986
BASE_00000094	baseline	k141_7277	2484	4e845c206c891443a90ac36a398040591dfa69236bf1ab550bc64748aef7358f
BASE_00000095	baseline	k141_21700	1168	6ca29aa0dd6ecd3e9dfba28b3257fbed41bdcd2d5dadf5a37b05197885f9be6a
BASE_00000096	baseline	k141_7281	1258	e07c7b3e15f4cc07f708cf8a5e8c8fe7cf7f6eb6ec43f98d0479d1c0662cac53
BASE_00000097	baseline	k141_21701	3459	a4a2315735c5cb659e6ffdae528faa9b654f6ff6e325ebe4b3aded0494593fc0
BASE_00000098	baseline	k141_7283	1830	54b57842d813542cd70ba13cf255f451f7f8abd1591566df919062bb1bac639c
BASE_00000099	baseline	k141_80	7859	c26f7a1b34e0fd11e4253cc899742192e5a7c15b470e580272f47541f4dd8902
BASE_00000100	baseline	k141_81	1412	38ac83ac2caf2099fe79ce8576879fadaa11d29360ec147a664e63e2d4ec9f9d
BASE_00000101	baseline	k141_7285	3592	dd335b3a3ef83c8a39152bda174f534df6604711f41c1dd5ea7555ba37a8a4b6
BASE_00000102	baseline	k141_85	1257	08f096eb99f079c80b9360b2859728beb8fe4d7bb4211b511541c3b0365f5e74
BASE_00000103	baseline	k141_7291	1548	e0402609874bb25179ea275bf0ef654bc93a7a3b7269ee43da0a0f4f0b6557b5
BASE_00000104	baseline	k141_92	1234	3cbc5d20502591086929160635425945940adf8534e6ee2653374752c2699c4e
BASE_00000105	baseline	k141_7293	1579	98bf1bc5a1f76c28b712039c02d816f951dea3d28578532ecec9dd1e1ce98349
BASE_00000106	baseline	k141_93	1494	4ea2524d979956cd61aadbe6179bf0bd9849c66d5c3b8242e0eac08da9dceeee
BASE_00000107	baseline	k141_21703	10700	820ddd293db5a187c4d5bd974d0f315ba3ad9aa2ce09c5f801aa175f68ee1cc1
BASE_00000108	baseline	k141_21705	2045	dde1ee158aa8c5f85e8b97d03fde67a4e5c25166de2cfbd668533d5032186279
BASE_00000109	baseline	k141_7296	2659	e15f3630a3a256d251a9e89291f8502ecb4a667e9cf037914dbfa986b78fb3b3
BASE_00000110	baseline	k141_99	1639	a6fb487726df80cc5b25d04b2084bbb05f509837dedb8257ab9c29949be62ab0
BASE_00000111	baseline	k141_21706	2696	80e02ce05dcb14ddf0e1f09e42fc48e54ce5e614a04bbeb7afc9bdae6a44f235
BASE_00000112	baseline	k141_7299	2220	eb5cec5782764202a9cb20860b90c4409e22fbabdfe83cbc500c0b8808372afc
BASE_00000113	baseline	k141_21708	1319	336da6b49bbdf12b82a8a5e56bff1194069da8118672f8008aaa77c0f634baf2
BASE_00000114	baseline	k141_101	2531	dac1edd63802874c1a7330a587dbbdc48b96deb7ba8f6d76fcab0ab6099b6ca5
BASE_00000115	baseline	k141_104	1040	0a68cb3c17435af20616290e119d2c092c2ba93a4ef2410eaaaca446dd6e08a2
BASE_00000116	baseline	k141_106	1556	7c8ea0c77ccb7bbe0b6bb6aca825583ce9570af8a9d58d4f7ef9dff9e921b1b1
BASE_00000117	baseline	k141_7310	1122	e5090fcea9a21ae1cc4458da4de522e1df2aed6d528f34df413d914b007da046
BASE_00000118	baseline	k141_21715	1923	616497a8e6999ea62779d34ec3bc5300754efc62349d97c48edcc73565d20a21
BASE_00000119	baseline	k141_108	1009	7dd4d213eb7573b798f45fff15e97927a2028617b41fb491621fce4b997b0e9c
BASE_00000120	baseline	k141_21716	1244	81b66e36b66b9454d263bf66da63133bc89ca6d6c47ffecfc246218c1fb79762
BASE_00000121	baseline	k141_21719	1416	829b6b8f5fd6deb7a95a7dfca1db20749fc4482858eff58976cc57459f531597
BASE_00000122	baseline	k141_7312	2949	d88a00ef87a8c1861ea78cf4f4ba0ec7b05f04b6a360df41c82231bff1f574b7
BASE_00000123	baseline	k141_111	2370	f9bc7f9fdb434cefe65aed4f2ba691f3eb0b5632320c709bfee1a1e757e25821
BASE_00000124	baseline	k141_113	1069	12a99cdf8db8b3870e13a1ae7f96a695e75f8760c4fb51d9cc6832a78aff622b
BASE_00000125	baseline	k141_7316	1831	408f6f6d9c236ce504cc1d56d253a111fe5d492e10721253355c88e94fdb7958
BASE_00000126	baseline	k141_7319	1108	f7a3469ca62750e8ab8bcde2b2bfd0f19688579ebfa9397bd88617e2d26a031a
BASE_00000127	baseline	k141_115	2658	050a0de6f1c2eb651c8f6392bae792882495702cf5926feb9e52a19f32a4715b
BASE_00000128	baseline	k141_7320	1119	8adf45818f21fab30f0e977eabf922646275f4322897ca1fc725e9c25f781296
BASE_00000129	baseline	k141_116	2198	c034e4eeae17dc39bbe80feb470f55abec27b1f3c4fd1f71c425cfd633d9378a
BASE_00000130	baseline	k141_7321	1256	9d4a5bac42c4304d38e9b00c46f61a4d92de76c15b19336a5c4b233b49efa74b
BASE_00000131	baseline	k141_21721	7384	e8be3a3f099a5ccc630abfaf605513fe6a3107c4846ff32c419e31068d48dc1c
BASE_00000132	baseline	k141_7324	1504	f1b63ed0c010589e29719bf3fe75284af3eb6f3b1faf7b29abb4d977e3bcf7e6
BASE_00000133	baseline	k141_7327	1051	c071b7c996481678ad76b4595cadea7d5103d73386fe25f4931d11ba455353dd
BASE_00000134	baseline	k141_7328	1394	e4f9ba2ab5733a2262e2105df6b7af1dbc63ee813f67dd00370b35a9859cc09e
BASE_00000135	baseline	k141_21727	2366	0405c8dfd296e5295009214e1bfaf93e231cc7b67367b717d3eb45b3237729b2
BASE_00000136	baseline	k141_7329	1085	6262e070d1de49b23ad25f048ef159bf1d3ab9302e9eea12ca75b255c625b126
BASE_00000137	baseline	k141_21729	1498	903c1dd53eee861083d5c7903b3f88ece5f039f8f22001edb8cd6913925b4110
BASE_00000138	baseline	k141_118	7914	478684bceb1315998d12cdc8315e66537fc2b35901cea64ff7d583ef65a44c30
BASE_00000139	baseline	k141_21732	1133	0f2f260c0baa19ba96f093b6da28cbeb1599072591d0c6c7b8f1fc11754879f6
BASE_00000140	baseline	k141_119	1312	5df92e69f51860bfb622c52718372d39f6cd00f66fe53643729099dddd393efd
BASE_00000141	baseline	k141_21733	1021	69cc012817319e088949363a7cb24341312608f9194b8638256687567449d0e5
BASE_00000142	baseline	k141_120	1172	d4d5b113c88965aa92853bd9a288b3a3cb5f3a41ec7a8893e15af4b418e0b397
BASE_00000143	baseline	k141_7338	1437	6dea46e06f3b8a82ed2ef432bdf8c8bfb18f330352a49e1739da71fcf38bdb5d
BASE_00000144	baseline	k141_124	1107	e38f2467f01b4c41d1283615d0df13e8ff9f955c0879cf450493e31d4b56f7e1
BASE_00000145	baseline	k141_14487	50246	450857890501caf7b0702a94b8a8f431e17e5138f2ee30e168f8472edac1bb85
BASE_00000146	baseline	k141_21734	3537	456e28f858ae79988cef364618677a25b1241f83475af7d36191ed582b212d42
BASE_00000147	baseline	k141_7344	1180	6c11de3af2cff56a2e1fa425bc1bbeb874b6faa4984b2ac416939aa8346f50c7
BASE_00000148	baseline	k141_14492	1196	64c9adca4f8fef8b467364298177e75bf43eecbbb533aaba9b8ec71c0c1679f4
BASE_00000149	baseline	k141_21738	1514	12511466d96db07c0a717aec694192a8d26734ab4ecd3feb581d848f3c5ccf9b
BASE_00000150	baseline	k141_128	2367	3e0528ee2a2702aa9778453cbbb539ca32ffcdaf44dc8f31747d3a169402e9e1
BASE_00000151	baseline	k141_7345	1173	5e5e4ee6980d281ff5db8d12a5a3a273cd5b2412af4cb9366592742ffb208a04
BASE_00000152	baseline	k141_14493	1656	e4f3c10aa78cbbc8691a98857a49bff792b9a8d33eb819c1cf8016de42888bb3
BASE_00000153	baseline	k141_129	1007	ba27332cd55b705c7efd2e7bd790f5ef6dd7ffb99c376bf1d9f28059cc680516
BASE_00000154	baseline	k141_21740	1297	e645cc1374343f712f9f1de51599513a631f8e8bce06462a85c11d6d9a64627f
BASE_00000155	baseline	k141_7348	1005	48a85479f698c6012355901d67765f4b9574f4e76a6ff90baa2d0f1e544c9b5e
BASE_00000156	baseline	k141_14497	1236	05caaf83144b810873b19b1f8cee0fd8bc0cc8040ef143131a1e512148b8129b
BASE_00000157	baseline	k141_21742	1882	01b96d811a7e0f3e865eeee678ddef78354ff6a65fe3ebff4e557ab477c2a817
BASE_00000158	baseline	k141_134	1432	ccfa973589af0101939ce2d4b6ac15d392ef2ad8787c9d42d828a89236006cdb
BASE_00000159	baseline	k141_7351	2404	aa89f648885e1d69098d9aa213af71d929704d09b6a898f0bfd84b85be3dbd15
BASE_00000160	baseline	k141_21744	2289	ef2c3e4be6763ceaf9d4794ccfa5cfdf231ee1e4f5e054a6f25a603cfd0e1a9a
BASE_00000161	baseline	k141_139	1055	37f106aa2494441b571f984e6bc23de4edcd2c06797baff28bae69e3429ec6e5
BASE_00000162	baseline	k141_7353	1847	d1c917a63ac291447335dda12bb35f3ff1cbd6e04e6a0081934f9aade0ff4c9e
BASE_00000163	baseline	k141_141	1092	4d89f0cb0c0e317ebd1caefa2b02f7ae10743052a1150a1379e05db72023de8a
BASE_00000164	baseline	k141_21745	2214	a405b04a7100f5f62d5729d2af92da6b5dbd8e2fc6b6e7bfd93e6dc738d75c91
BASE_00000165	baseline	k141_21747	1199	1d4c767dbd61cc91a0b251ee51effa0506b68d6123d1f37e9d1f083beece21ed
BASE_00000166	baseline	k141_144	2349	a6b682021a7931fda79e04d189f80ba394d5379ba7aa21bb23149970d3cbbf7e
BASE_00000167	baseline	k141_7356	3550	b4af8ce51636e70477e06b6280c082358948b33478a8c49013735f75dbd48ce0
BASE_00000168	baseline	k141_14503	6425	04e75aca3889c13bb2ff91f5fd164367fd914373a6319659a7c38119c5ea8ca6
BASE_00000169	baseline	k141_21753	1663	163e874b9fae116bf88cce231b39fdbc92c82869127b902deae74da7be7442ab
BASE_00000170	baseline	k141_147	1875	3b88e0291b0f2d28de4d06bf75d3e30f2c5f9e12d29258e6dd93e5c36165dc8e
BASE_00000171	baseline	k141_7361	1549	aaa09bc85ba579eda1f89016856ce3443c71c963ac69ee3e72c4e56144ad9cd7
BASE_00000172	baseline	k141_21754	1034	e0db8985c2cb361b72bc73843633556e04478ffa87a0604a36ceefb01d4d782c
BASE_00000173	baseline	k141_14506	2272	1f46fdc14638075aec828bb052c190fbbe3f0b34fe841991b119a023863b148b
BASE_00000174	baseline	k141_148	1650	0205bcceb35753042ad82d9e80f2a5df038d04c3a4780456ebd99e446c5ddaf8
BASE_00000175	baseline	k141_21755	1031	51bd8e6fd4f09372e71f7b3a2458d19990e9029f854d94cdde4becda4d0ad65f
BASE_00000176	baseline	k141_14507	1356	c4a397c913ac0a14c9fae9abfe0de554ebe9add1b4c1c23c8a10b767949ca001
BASE_00000177	baseline	k141_7367	1159	8f82148a909f8bbf9f1b2ff0253422c60117ee6a121d0ae6e011ec0863c76eb3
BASE_00000178	baseline	k141_14510	1150	0a069c05635abd97cc443bc7a4f16c7d8f43d51bea6bfc5a79394a199ee40ab4
BASE_00000179	baseline	k141_21758	3807	51c49b7386af3a524fbeb67a9c6861f89e83aa0c7fac62a49ebb15d906a24cb9
BASE_00000180	baseline	k141_14512	1898	8b152d9464bb5ad9a8c9927705e830243f0c44d660e85698e85500c92b96c727
BASE_00000181	baseline	k141_7371	1103	2079cd40cdabb9220912a5d828107446494db4bf0ff5b90232f09e93331b01df
BASE_00000182	baseline	k141_7372	2175	9f1a9ddb1398f2fb0c4644a568153127456150483aa6d01873b9db1b6675d917
BASE_00000183	baseline	k141_163	1150	5d6f628e7d5c1d50cba8567c10e29961d94e9c8a50133c5f6d8cefbeb85f4d94
BASE_00000184	baseline	k141_14516	1507	5ade022a211ed842d460dedfa6c1a15e7d2151f39d095d62521169404632e39a
BASE_00000185	baseline	k141_14517	1055	68405cc7484b81530ae5c9bfe652a9da1d6e8b846d6f5851c8663e83110792fc
BASE_00000186	baseline	k141_21760	5178	33efb48fd37f191612841ea6141da50bcf65d646197c38b41f28926602ee40e0
BASE_00000187	baseline	k141_14519	1576	93cf93fcb5991046e44ef9cc88f06d3d45994a8ca12eb223266f7b21e0dd2e35
BASE_00000188	baseline	k141_21761	1212	c8873f6599ee412458d0356150ea95bfa5526892190258d97d17fcac13b8af3e
BASE_00000189	baseline	k141_166	2916	7f29628840b8aa03657c7a6ecdcf374941315d87bd694f03c7314072fd41aa72
BASE_00000190	baseline	k141_7373	4125	6830904fc205913f58612e1dbc1af75645aba23d55a5f434fe294aff47d4cb6e
BASE_00000191	baseline	k141_7374	1061	44c077391ba1cf88c4211d43439c9335990af89996214a145f8c5c6d5631c2a5
BASE_00000192	baseline	k141_21762	1058	9d06bc75af4f4d81350f1cd0de0c2a96cc6b7c0f7413dc8dc6904b85a1e20991
BASE_00000193	baseline	k141_14521	2074	1ba58fbe132a83e02744bae521c49263a039a9776032fed416f836c607099066
BASE_00000194	baseline	k141_7375	1081	f37b4b66862965514c6d6a91114fcd97379031684d7a06c0376231bcd04e2c9b
BASE_00000195	baseline	k141_167	2666	3c504c943856b90c426380fd9ef026c324bc1f9abde7abd492a580c24f966729
BASE_00000196	baseline	k141_21766	1026	b4531bb31d4f64cca46e0a18d00943640fb1f8ccbce2a62b511036bb408620d1
BASE_00000197	baseline	k141_14522	1798	12b40c0edda347ef23d3b0771d478808e22de7de42f9a00b79f98aaee45e1ac8
BASE_00000198	baseline	k141_168	1125	4e82e3b57a8d368adbc2dae56e8fc5c19d1c59659d9de352252b97f3fcf08ea4
BASE_00000199	baseline	k141_7378	1146	c459faf400173282201263734cf2ee2e0138933c7ce144d47eaef622e307a28c
BASE_00000200	baseline	k141_14524	1327	13e6a3c918805f2b663279ff06925f119581318a4b5f2a2a02c549785444f0ae
BASE_00000201	baseline	k141_21768	2366	38e57d80d0097be7fdd3c175f5e16f2d4f97425caa680026bc94d4239ecae0f0
BASE_00000202	baseline	k141_171	2031	922abc3f04c21fef3733b726d1db4b2d3710ef0fe1ccc4e19d8dc5b06a41c0c9
BASE_00000203	baseline	k141_21769	1344	fbb6abe3cce58d3ee863e00321437ec00be2883ffc972a5cc5ffb0d29e5e2404
BASE_00000204	baseline	k141_7382	2099	9e92d0eab0f2e76dbc32c4466166cc57b6b2169b754bb1599d3a810965f6a2b9
BASE_00000205	baseline	k141_14526	2461	91e77b63bab11e43d63aa689c93e0c5cef446d7a54225948db421b1107d441e7
BASE_00000206	baseline	k141_21770	1289	4c0e26db7c53021ebb3211f7e6fa276e3d30fd54d95f69fa6b781a261be0464d
BASE_00000207	baseline	k141_172	1871	cd482ab02c2760bed9f79a13a7147ea6affc094a615f9c9dc469bde7a89870b8
BASE_00000208	baseline	k141_7383	1265	3ca918f81bb58624b31131d96f182c79a97268a1a8609ea64c552ab1662d11b9
BASE_00000209	baseline	k141_14527	1106	df06099124948aef3338d6dbfae1d07ade2cb727d4dc51d43fb2071bb1656b4c
BASE_00000210	baseline	k141_21771	1633	11c3ad4ff545fcdc88268d269060472cd979b9656ebc5c7bde60d7d34f607877
BASE_00000211	baseline	k141_7386	1126	01efc70d1b99fa9383b06d81dc6c42b12cc1cc64557b240e1ab23041d260865e
BASE_00000212	baseline	k141_175	1328	88b4e56e93a42a851da07e043c8b7f94c69f1c82e8c6910bef02794ce0c1cb75
BASE_00000213	baseline	k141_14530	1021	ee1f9946fe025283959417aeeea3e801388273c2fcb5c0cf1b71e1e586a18f32
BASE_00000214	baseline	k141_14531	3423	d736ed36ab640e92d8cc6215eb02beb1891eda9ea0c5097b68b8d64759db2425
BASE_00000215	baseline	k141_21777	2674	9e5d416cc1eb6aabea391ed7a410e340314376dbe3960d3c4d31b3afeb884dc6
BASE_00000216	baseline	k141_183	1769	c29f7bd9c6d97bbc68a2fc0e3c09226cf5a2ad3d2b0903da4ca6f2f011ef9930
BASE_00000217	baseline	k141_14534	2158	f478c6446aa300be819d7a2f70dfb7b186795fe9f59f52ffb04f821c80c866c4
BASE_00000218	baseline	k141_184	1072	1babddc24bfb2fcf8ef92c18a01161f011c538607d5f6efd6d3412845b7c4329
