pmcid,title,stage,reason
PMC11869347,"Efficacy and potential pharmacological mechanism of &lt;i&gt;Astragalus-Salvia miltiorrhiza&lt;/i&gt; combination in diabetic nephropathy: integrating meta-analysis, network pharmacology, molecular docking, and experimental validation.",metadata,title_pattern:\bmeta-analysis\b
PMC12845498,Network Pharmacology and Untargeted Metabolomics Analysis of the Protective Mechanisms of Total Flavonoids from Chuju in Myocardial Ischemia-Reperfusion Injury.,metadata,no_intervention_signal
PMC11495767,"Exploring the mechanism of Danggui Sini Decoction in the treatment of myocardial infarction: A systematic review, network pharmacology, and molecular docking.",metadata,title_pattern:\bsystematic review\b
PMC13189894,"Integrating network pharmacology, molecular docking, and experimental validation, this study explores the mechanism of action of Typhonii Rhizoma in colon cancer.",metadata,no_intervention_signal
PMC13239170,Elucidating the Mechanism of Oridonin in Treating Hepatocellular Carcinoma: Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC12451251,"Exploring the Mechanism of &lt;i&gt;Anemarrhena asphodeloides&lt;/i&gt; in the Treatment of Osteoporosis Based on Network Pharmacology, Molecular Docking, and Mendelian Randomization.",metadata,no_intervention_signal
PMC11589340,Exploration of compatibility rules and discovery of active ingredients in TCM formulas by network pharmacology.,metadata,publication_type:review-article review journal article
PMC13222500,"Mechanism of a polyherbal mixture alleviates calf diarrhea: an integrated network pharmacology, metabolomics, and microbiome study.",metadata,no_intervention_signal
PMC13210576,Seasonal Metabolic Profiling and Anti-Inflammatory Potential of &lt;i&gt;Spatholobus suberectus&lt;/i&gt; Leaves Based on Metabolomics and Network Pharmacology.,metadata,no_intervention_signal
PMC10695624,Efficacy and mechanism of nourishing yin and purging fire therapy for central precocious puberty based on meta-analysis and network pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC12119994,"Network pharmacology, prognostic analysis and experimental validation elucidate the therapeutic mechanism of Dingxiang Guanshitong in esophageal cancer.",metadata,no_intervention_signal
PMC12848311,Elucidating the anti-fibrotic mechanisms of Abrus cantoniensis in hepatic fibrosis using network pharmacology and proteomics.,metadata,no_intervention_signal
PMC11866215,Traditional Chinese medicine and modern technology: Network pharmacology and omics sequencing in gastric cancer.,metadata,publication_type:editorial
PMC11709164,Network pharmacology and molecular docking approach to explore the potential mechanisms of Xuefu Zhuyu Capsule in coronary heart disease.,metadata,no_intervention_signal
PMC12902046,Research on the molecular mechanism of celastrol targeting CTNNB1/STAT3 to inhibit uveal melanoma based on network pharmacology and multi-omics analysis.,metadata,no_intervention_signal
PMC11789889,Efficacy and mechanism of Qianjinweijing Decoction for asthma: Integrating systematic review with meta-analysis and network pharmacology.,metadata,title_pattern:\bsystematic review\b
PMC13052329,"Integrative Network Pharmacology, Molecular Docking, and In Vitro Insights Into the Mechanism of Finger Citron for Non-Alcoholic Fatty Liver Disease.",metadata,no_intervention_signal
PMC13066263,"Efficacy and potential pharmacological mechanisms of total glucosides of paeony in treating ankylosing spondylitis in Asian populations: a meta-analysis, network pharmacology, and molecular dynamics simulation.",metadata,title_pattern:\bmeta-analysis\b
PMC11826910,Network Pharmacology Combined with Animal Models to Investigate the Mechanism of ChangPu YuJin Tang in the Treatment of Tourette Syndrome.,metadata,"publication_type:research support, non-u.s. gov't review-article journal article"
PMC12537158,Network pharmacology and molecular docking to explore the active compounds and mechanisms of Jerusalem artichoke for treating diabetes.,metadata,no_intervention_signal
PMC12984762,UPLC-Q-TOF-MS/MS and Network Pharmacology Approaches to Explore the Active Compounds and Mechanisms of Kadsura coccinea for Treating Rheumatoid Arthritis,metadata,no_intervention_signal
PMC12944266,Integrating Metabolomics and Network Pharmacology: Investigating the Therapeutic Mechanism of Atractylodes Rhizome Against Rheumatoid Arthritis.,metadata,no_intervention_signal
PMC12221932,Mechanism of Shi-Yang-Xiao lotion in alleviating perianal eczema based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC13239304,Integrated Network Pharmacology and Machine Learning to Reveal the Mechanisms of Schisandrin A Against Triple-Negative Breast Cancer.,metadata,no_intervention_signal
PMC11061375,Chinese medicine in the treatment of non-alcoholic fatty liver disease based on network pharmacology: a review.,metadata,title_pattern:\breview\b
PMC13186842,A novel mechanism for treating acute lung injury with ligustilide: elucidation via network pharmacology and in vitro validation.,metadata,no_intervention_signal
PMC10631104,Network pharmacology: a bright guiding light on the way to explore the personalized precise medication of traditional Chinese medicine.,metadata,publication_type:review-article review journal article
PMC12529376,"Discrimination of Dried Ginger and Its Different Processed Products: Untargeted Metabolomics, Network Pharmacology, and Machine Learning.",metadata,no_intervention_signal
PMC11289720,Application of network pharmacology in traditional Chinese medicine for the treatment of digestive system diseases.,metadata,publication_type:review-article review journal article
PMC12613600,Exploration of the potential mechanism of cyclolinopeptides-mediated antiosteoporosis effects via network pharmacology analysis.,metadata,no_intervention_signal
PMC13063987,"Antifungal efficacy of linoleic-acid-rich Cucurbita pepo L. seed oil revealed by GC-MS profiling of lipids and bioactive markers, ergosterol depletion, and network pharmacology.",metadata,no_intervention_signal
PMC12855086,Liu Shen Wan regulates the SPHK1/S1P axis to ameliorate influenza-induced inflammation via integrated network pharmacology and lipidomics.,metadata,no_intervention_signal
PMC12939048,Immune and Tumor Microenvironment Mechanisms of &lt;i&gt;Hedyotis diffusa&lt;/i&gt; Willd: A Scoping Review and Network Pharmacology Analysis.,metadata,title_pattern:\bscoping review\b
PMC13187017,Mechanistic insights into 18β-glycyrrhetinic acid-induced apoptosis in SCC-9 cells revealed by TMT proteomics and network pharmacology.,metadata,no_intervention_signal
PMC13264652,"Unveiling anti-atherosclerotic targets of Perilla frutescens through a multi-scale computational framework integrating network pharmacology, single-cell analysis, machine learning, and molecular dynamics.",metadata,no_intervention_signal
PMC12301245,Integrative Network Pharmacology and Transcriptomics Reveal the Mechanism of Gui-Qi-Yi-Shen Granules in the Treatment of IgA Nephropathy.,metadata,no_intervention_signal
PMC12777764,"Regarding: ""exploring the key ingredients and mechanisms of Banxia Xiexin decoction for the treatment of polycystic ovary syndrome based on network pharmacology and experimental validation"".",metadata,publication_type:letter journal article
PMC12145789,Jingfang Granules for Diabetic Wound Healing: Insights from Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC12497865,"Mechanistic Insights into Qin Bi Yin for Psoriasis Treatment Using Network Pharmacology, Experimental Validation, and Molecular Docking.",metadata,no_intervention_signal
PMC13029327,"Pleiotropic Bioactivity of Caterpillar Fungus, Orange Cordyceps, and Cordycepin: Insight from Integrated Network Pharmacology and Food and Drug Regulatory Framework.",metadata,publication_type:review-article review journal article
PMC13039930,Multi-omics and network pharmacology reveal the mechanisms of Scutellaria barbata D.Don and Scleromitrion diffusum (Willd.) R.J.Wang against pancreatic cancer.,metadata,no_intervention_signal
PMC12472728,"Anti-Oxidant, Anti-Inflammatory and Antiviral Properties of Luteolin Against SARS-CoV-2: Based on Network Pharmacology.",metadata,publication_type:review-article review journal article
PMC12182235,"Exploring the Therapeutic Potential of FSGTC for Osteoarthritis: A Comprehensive Study Combining Nested Case Analysis, Network Pharmacology, and Experimental Validation.",metadata,no_intervention_signal
PMC12984618,Network Pharmacology and Zebrafish Model Elucidate the Hypoglycemic Mechanism of Major Compounds in Cyclocarya paliurus,metadata,no_intervention_signal
PMC13209559,"Network Pharmacology and Natural Products in Modern Drug Discovery: Emerging Trends, Challenges, and Future Directions.",metadata,publication_type:editorial
PMC12401428,"Investigating the Aidi injection mechanism for low-grade glioma based on the network pharmacology approach, The Cancer Genome Atlas (TCGA), and molecular docking technology.",metadata,no_intervention_signal
PMC12470726,Ginkgo Seed as Medicine-Food Homology for Migraine: Network Pharmacology and Molecular Docking Insights.,metadata,no_intervention_signal
PMC10777171,Network pharmacology: towards the artificial intelligence-based precision traditional Chinese medicine.,metadata,"publication_type:research support, non-u.s. gov't review-article review journal article"
PMC12778179,Investigating the therapeutic mechanism of Asarum for oral ulcer from a network pharmacology perspective.,metadata,title_pattern:\bperspective\b
PMC11404889,Exploration of the potential mechanism of Yiyi Tongfeng Formula in the treatment of acute gouty arthritis based on network pharmacology and molecular docking: A review.,metadata,title_pattern:\breview\b
PMC9143318,Network Pharmacology Approach for Medicinal Plants: Review and Assessment.,metadata,title_pattern:\breview\b
PMC13297437,"Dauricine Mitigates Hypoxia Through Targeting ESR1, PIK3CA, and MTOR: A Network Pharmacology and Molecular Dynamics Simulation Investigation",metadata,no_intervention_signal
PMC12538648,Exploration of the Mechanism of Tongmai Xianxiang in Treating Postherpetic Neuralgia Based on Gas Chromatography-Mass Spectrometry Analysis and Network Pharmacology.,metadata,no_intervention_signal
PMC10869101,Molecular characterization of allergic constitution based on network pharmacology and multi-omics analysis methods.,metadata,publication_type:meta-analysis research-article journal article
PMC11001277,Network pharmacology identification and <i>in vivo</i> validation of key pharmacological pathways of Qin Jiao for gout and arthritis.,metadata,publication_type:research-article review journal article
PMC12535045,Exploring the pharmacological action mechanism of chamomile essential oil on the treatment of breast cancer based on network pharmacology.,metadata,no_intervention_signal
PMC11257993,"Network pharmacology: an efficient but underutilized approach in oral, head and neck cancer therapy-a review.",metadata,title_pattern:\breview\b
PMC12970217,Elucidating Trigonelline's Therapeutic Mechanisms for Traumatic Brain Injury Through Integrated Network Pharmacology and In Vivo Validation.,metadata,no_intervention_signal
PMC13209729,"Mechanisms of Anti-Aging Effect of &lt;i&gt;Alpinia oxyphylla&lt;/i&gt; Polysaccharides Mediated via IIS Pathway: Based on In Vivo Experiments, Network Pharmacology and Molecular Docking.",metadata,no_intervention_signal
PMC13209920,"Ribifolones A-H, New Macrocyclic Diterpenes from &lt;i&gt;Jatropha ribifolia&lt;/i&gt;, Their Cytotoxic Activity and Insights Supported by Network Pharmacology and Molecular Modeling.",metadata,no_intervention_signal
PMC11860255,Mechanistic Insights into the Therapeutic Efficacy of Qi Ling Gui Fu Prescription in Broiler Ascites Syndrome: A Network Pharmacology and Experimental Study.,metadata,no_intervention_signal
PMC13026823,"A Study on the Mechanism of Acetyl Tributyl Citrate-Induced Infertility Toxicity and the Protective Action of Icariin Based on Network Toxicology, Network Pharmacology, Molecular-Docking Technology and Molecular Dynamics Simulation.",metadata,no_intervention_signal
PMC11557475,Combining single-cell RNA sequencing and network pharmacology to explore the target of cangfu daotan decoction in the treatment of obese polycystic ovary syndrome from an immune perspective.,metadata,title_pattern:\bperspective\b
PMC12295824,Exploring the Regulatory Mechanism of Total Alkaloids from &lt;i&gt;Portulaca oleracea&lt;/i&gt; L. in UC Treatment Based on Network Pharmacology.,metadata,no_intervention_signal
PMC12968809,Modulation of Inflammatory and Oxidative Stress Pathways in COPD: Unraveling the Mechanisms of Fenugreek Through Network Pharmacology and Single-Cell RNA Sequencing.,metadata,no_intervention_signal
PMC11596575,Exploration of the molecular mechanism of Wufu Yin in the treatment of knee osteoarthritis based on network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC13164087,Identification of Potential Bioactive Compounds in Strong-Flavor-Type Baijiu via Integration of Widely Targeted Metabolomics and Network Pharmacology.,metadata,no_intervention_signal
PMC12950797,"Network pharmacology, machine learning, and experiments uncover β-sitosterol targeting HSP90AA1 in medicinal-edible black soybean against aging.",metadata,no_intervention_signal
PMC13283118,Unveiling the therapeutic potential of gut microbiota metabolites for the treatment of renal fibrosis based on network pharmacology study.,metadata,no_intervention_signal
PMC12991721,Novel myostatin inhibition by Acacia farnesiana: A network pharmacology workflow decoding its multi-target mechanism in sarcopenic obesity.,metadata,no_intervention_signal
PMC12940951,Integrated Network Pharmacology and Molecular Docking Uncover Multi-Target Actions of Cladophora glomerata–Derived Compounds Against Chronic Obstructive Pulmonary Disease,metadata,no_intervention_signal
PMC12216137,An integrated widely targeted metabolomics and network pharmacology study of Persicaria runcinata var. Sinensis against arthritis.,metadata,no_intervention_signal
PMC13164314,Comprehensive Investigation into the Antioxidant Phytochemicals and Molecular Mechanisms of the Genus &lt;i&gt;Ottelia&lt;/i&gt;: An Integrated Metabolomic and Network Pharmacology Approach.,metadata,no_intervention_signal
PMC12316888,Network pharmacology analyses and corresponding validation of the mechanistic effects of Yangyin Tongnao Granules in ischemic stroke.,metadata,no_intervention_signal
PMC12219075,Integrative network pharmacology and experimental validation of anti-inflammatory triterpenoids from hawthorn leaves.,metadata,no_intervention_signal
PMC11968393,Investigation of Tongqiao Huashuan Granules' effect on hippocampal neuron autophagy in vascular dementia rats via the PI3K/Akt-mTOR signaling pathway using network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC11263673,"Pharmacological mechanisms of Taohe Chengqi decoction in diabetic cardiovascular complications: A systematic review, network pharmacology and molecular docking.",metadata,title_pattern:\bsystematic review\b
PMC11092526,Exploring the pharmacological mechanism of Glycyrrhiza uralensis against KOA through integrating network pharmacology and experimental assessment.,metadata,no_intervention_signal
PMC12030290,Agarwood Chromone Alleviates Gastric Ulcers by Inhibiting the NF-κB and Caspase Pathways Based on Network Pharmacology and Molecular Docking.,metadata,no_intervention_signal
PMC12936559,"Correction: Network pharmacology, bioinformatics and in vitro/in vivo validation elucidate the anti-lung cancer activities and potential targets of Rhoifolin.",metadata,no_intervention_signal
PMC12599947,Network pharmacology and experiments verify the effect of triptolide on extraocular muscle fibrosis.,metadata,no_intervention_signal
PMC13048342,"Effects of Blood Pressure and Antihypertensive Drugs on Rheumatoid Arthritis: A Mendelian Randomization, Network Pharmacology, and Experimental Validation.",metadata,no_intervention_signal
PMC12512200,"Discovery the Mechanism of Qingdi Mixture for Radiation-Induced Lung Injury Based on Network Pharmacology, Clinical Retrospective Analysis and Experimental Validation.",metadata,no_intervention_signal
PMC11979015,Integration of network pharmacology and experimental validation to explore the pharmacological mechanism of andrographolide against asthma.,metadata,no_intervention_signal
PMC12692186,Elucidating the Mechanisms of Chrysanthemum Action on Atopic Dermatitis via Network Pharmacology and Machine Learning.,metadata,no_intervention_signal
PMC11573511,Systematic review of Buzhong Yiqi method in alleviating cancer-related fatigue: a meta-analysis and exploratory network pharmacology approach.,metadata,title_pattern:\bsystematic review\b
PMC12460929,Elucidating the Mechanism of Emodin in Treating Post-Stroke Depression Through Network Pharmacology and Animal Experiments.,metadata,no_intervention_signal
PMC13068282,The identification of metabolites from gut microbiota in HPV infection via network pharmacology.,metadata,no_intervention_signal
PMC12946048,Unveiling the potential of apigenin and kaempferol against colon cancer: an integrated network pharmacology and docking approach.,metadata,no_intervention_signal
PMC9634580,Editorial: Network pharmacology and traditional medicine: Setting the new standards by combining <i>In silico</i> and experimental work.,metadata,title_pattern:\beditorial\b
PMC11589485,"Network pharmacology, molecular docking, and untargeted metabolomics reveal molecular mechanisms of multi-targets effects of Qingfei Tongluo Plaster improving respiratory syncytial virus pneumonia.",metadata,no_intervention_signal
PMC12109165,Anti-Inflammatory Mechanism Prediction of Sinomenine Based on Network Pharmacology and Its Biological Activity Verification.,metadata,no_intervention_signal
PMC12216129,Hongyuyin attenuates intestinal fibrosis in ulcerative colitis in mice revealed by transcriptomic and network pharmacology analyses.,metadata,no_intervention_signal
PMC12835102,"Anti-inflammatory effects of Lonicera macranthoides Hand.-Mazz based on Spectrum-effect relationship, network pharmacology and molecular docking technology.",metadata,no_intervention_signal
PMC12565323,The UHPLC-Orbitrap MS/MS and Network Pharmacology Strategies Reveal the Active Antioxidants of Bleeding Sap from Sponge Gourd in Treating Tuberculosis.,metadata,no_intervention_signal
PMC12316279,"Mechanism of Astragaloside-Brucea javanica oil nanoemulsion against oral squamous cell carcinoma through CDK1/MTFR2: Network pharmacology, bioinformatics, and experimental studies.",metadata,no_intervention_signal
PMC12128513,"The mechanisms of Brucea javanica in the treatment of oral squamous cell carcinoma: a network pharmacology, molecular docking, and experimental study.",metadata,no_intervention_signal
PMC9508683,Methodology of network pharmacology for research on Chinese herbal medicine against COVID-19: A review.,metadata,title_pattern:\breview\b
PMC12112620,Network Pharmacology-Guided Evaluation of Ginger and Cornelian Cherry Extracts Against Depression and Metabolic Dysfunction in Estrogen-Deficient Chronic Stressed Rats.,metadata,no_intervention_signal
PMC13120906,Exploring the pharmacological mechanisms of resibufogenin in castration-resistant prostate cancer via network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC10978761,Integration of meta-analysis and network pharmacology analysis to investigate the pharmacological mechanisms of traditional Chinese medicine in the treatment of hepatocellular carcinoma.,metadata,title_pattern:\bmeta-analysis\b
PMC13210147,"The Underlying Pharmacological Mechanisms and Active Components of XZZTP in Modulating Bacterial Inflammation Elucidated by LC-MS/MS, Network Pharmacology, In Vitro Experiments, Molecular Docking, and Dynamics Simulations.",metadata,no_intervention_signal
PMC12027966,"Rehmanniae Radix Praeparata in Blood Deficiency Syndrome: UPLC-Q-TOF-MS Profiling, Network Pharmacology, and PI3K-AKT Activation.",metadata,no_intervention_signal
PMC11829595,Network Pharmacology and Experimental Validation of the Therapeutic Effect of Baji Capsule on LPS-Induced Osteoporosis.,metadata,no_intervention_signal
PMC12918114,Ginsenoside Rg1 delays the senescence of adipose-derived stem cells: network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC12109879,"Astragalus in Acute Pancreatitis: Insights from Network Pharmacology, Molecular Docking, and Meta-Analysis Validation.",metadata,title_pattern:\bmeta-analysis\b
PMC12256781,&lt;i&gt;Cornus officinalis&lt;/i&gt; Protects Against Steroid-Induced Osteonecrosis of the Femoral Head Through Inhibiting Inflammatory Responses and Apoptosis via Network Pharmacology and Experimental Validation.,metadata,no_intervention_signal
PMC12742726,"A screening strategy for bioactive components from Amaranth: An integrated approach of network pharmacology, molecular docking and molecular dynamics simulation.",metadata,no_intervention_signal
PMC12370604,"Correction: Isolation of phytochemicals and exploration the mechanism of Dolichandrone spathacea in the treatment of chronic bronchitis by integrating network pharmacology, molecular docking, and experimental validation.",metadata,no_intervention_signal
PMC11398774,Investigating the mechanism of PAD in the treatment of acne based on network pharmacology and molecular docking: A review.,metadata,title_pattern:\breview\b
PMC13095247,"Exploring the mechanisms of luteolin in treating polycystic ovary syndrome and endometriosis via network pharmacology, molecular docking, and molecular dynamics simulation.",metadata,no_intervention_signal
PMC11612164,Deciphering the pharmacological mechanism of Radix astragali for allergic rhinitis through network pharmacology and experimental validation.,metadata,no_intervention_signal
PMC11664620,"Network pharmacology: Changes the treatment mode of ""one disease-one target"" in cancer treatment.",metadata,publication_type:letter journal article
PMC13069621,Combined network pharmacology and biological verification to investigate anti-influenza A virus effect and potential mechanism of Pudilan Xiaoyan Oral Liquid.,metadata,no_intervention_signal
PMC13286320,"Investigation of potential targets and mechanisms of naringenin in the treatment of spinal cord injury: A network pharmacology, molecular docking, and molecular dynamics simulation study.",metadata,no_intervention_signal
PMC11148253,Exploration of the mechanism of Traditional Chinese Medicine for anxiety and depression in patients with diarrheal irritable bowel syndrome based on network pharmacology and meta-analysis.,metadata,title_pattern:\bmeta-analysis\b
PMC13284004,"Integrated metabolomics, network pharmacology and molecular docking to reveal the effects of drying processes on the antioxidant activity of mulberry (&lt;i&gt;Morus alba&lt;/i&gt; L.) leaves.",metadata,no_intervention_signal
PMC11994109,Combining Experimental Validation and Network Pharmacology to Reveal the Action Mechanism of Panax Notoginseng-Radix Salviae on Atherosclerosis.,metadata,no_intervention_signal
PMC12964650,Combining network pharmacology and experimental validation to demonstrate that salidroside alleviates acute lung injury by inhibiting ferroptosis via the MAPK/GPX4 pathway.,metadata,no_intervention_signal
PMC12212841,Parthenolide reverses cisplatin-resistant in ovarian cancer: An observational network pharmacology and molecular docking study.,metadata,publication_type:meta-analysis research-article journal article
PMC13064283,"Unveiling the wound-healing potential of Pisum sativum aerial biomass through integrated bioassay-guided, LC-MS/MS, and network pharmacology approaches.",metadata,no_intervention_signal
PMC12329566,Effectiveness of Inhalation of a New Essential Oil Formulation on Asthma Through Network Pharmacology and In Vivo Analysis.,metadata,no_intervention_signal
PMC13274577,Mechanism investigation of &lt;i&gt;Actinidia arguta&lt;/i&gt; total flavone on gout via network pharmacology and &lt;i&gt;vivo&lt;/i&gt; experiments pharmacological verification.,metadata,no_intervention_signal
PMC10221388,Comparative Efficacy of East Asian Herbal Formulae Containing Astragali Radix-Cinnamomi Ramulus Herb-Pair against Diabetic Peripheral Neuropathy and Mechanism Prediction: A Bayesian Network Meta-Analysis Integrated with Network Pharmacology.,metadata,title_pattern:\bmeta-analysis\b
PMC12997191,An integrated metabolomics and network pharmacology approach to reveal the antioxidant components and mechanisms of wild jujube (&lt;i&gt;Ziziphus jujuba&lt;/i&gt; var. &lt;i&gt;spinosa&lt;/i&gt;) fruits across China.,metadata,no_intervention_signal
PMC10867594,A Chinese herbal formula Kesuting Syrup against COVID-19: Leveraging multidimensional computations in network pharmacology-driven experimental and clinical trials.,metadata,"publication_type:letter research support, non-u.s. gov't"
PMC12949976,"Network Pharmacology-Based Exploration: Non-Targeted Metabolites of &lt;i&gt;Lactobacillus&lt;/i&gt;-Fermented &lt;i&gt;Chaenomeles speciosa (Sweet) Nakai, Smilax glabra Roxb&lt;/i&gt;. and &lt;i&gt;Pueraria montana var. Lobata&lt;/i&gt; in Uric Acid Metabolism Intervention.",metadata,no_intervention_signal
PMC11236556,Prediction and analysis of components and functions of <i>Ixeris chinensis</i> based on network pharmacology and molecular docking.,metadata,publication_type:review-article review journal article
PMC12890652,Global research landscape and multisystem health mechanisms of luteolin: a comprehensive bibliometric and network pharmacology study.,metadata,title_pattern:\bbibliometric\b
PMC12357956,"UPLC-Q-TOF/MS, network pharmacology, molecular docking, and experimental validation to explore the mechanisms of toad clothing on rheumatoid arthritis.",metadata,no_intervention_signal
