rank	screen_priority_score	project_accession	species_labels	scientific_names	run_count	total_fastq_gb	total_fastq_bytes	total_read_count	total_base_count	estimated_mean_read_length	paired_runs	illumina_runs	fastq_available_runs	earliest_year	latest_year	unique_sample_titles	explicit_virus_target	priority_reasons	sample_title_examples	centers	countries	run_accessions	search_text
11	97.0	SRP482360	Forsythia suspensa	Forsythia suspensa	2	8.115	8114732709	59485422	17964597444	302.0	2	2	2	2025	2025	0	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available		SUB14115843	China:Henan	SRR27452192;SRR27452200	Transcriptome sequencing of forsythia tissue culture seedlings | Illumina HiSeq 4000 sequencing: Transcriptome sequencing of forsythia tissue culture seedlings | Biological repeat 1 | Transcriptome sequencing of forsythia tissue culture seedlings | Illumina HiSeq 4000 sequencing: Transcriptome sequencing of forsythia tissue culture seedlings | Biological repeat 1
12	97.0	SRP269899	Coptis chinensis	Coptis chinensis	3	8.649	8649411597	63344019	19003205700	300.0	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Coptis chinensis	SUB7714147	China:meishan	SRR12142680;SRR12142681;SRR12142682	three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis | three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis | three species including C. chinensis, C. teeta and C. omeiensis Raw sequence reads | Illumina HiSeq 2500 sequencing: RNA-Seq of C. chinensis: four year | Plant sample from Coptis chinensis | Plant sample from Coptis chinensis
13	97.0	SRP495917	Bupleurum chinense	Bupleurum chinense	3	8.694	8694127476	62344472	18669652930	299.46	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Bupleurum chinense	SUB14315976	China	SRR28365475;SRR28365476;SRR28365477	Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense
14	97.0	SRP521111	Bupleurum chinense	Bupleurum chinense	3	8.694	8694123883	62344472	18669652930	299.46	3	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Bupleurum chinense	SUB14612194	China	SRR29898476;SRR29898477;SRR29898478	Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense | Bupleurum chinense Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-seq of Bupleurum chinense DC. | Plant sample from Bupleurum chinense | Plant sample from Bupleurum chinense
15	97.0	SRP608717	Morus alba	Morus alba	4	8.695	8695273476	68401980	20434316753	298.74	4	4	4	2025	2025	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Morus alba	SUB15583846	China: Yulin	SRR35205927;SRR35205928;SRR35205929;SRR35205930	Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: QS | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: SDZ | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: SQ | Plant sample from Morus alba | Plant sample from Morus alba | Development of InDel Markers Associated with Leaf Protein Content in Mulberry Based on Whole-Genome Resequencing | Illumina NovaSeq X Plus sequencing: NHJ | Plant sample from Morus alba | Plant sample from Morus alba
16	97.0	SRP609228	Paeonia lactiflora	Paeonia lactiflora	3	8.98	8980391336	65044838	19513451400	300.0	3	3	3	2025	2025	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Paeonia lactiflora	SUB15541730	China:Yangzhou	SRR35006997;SRR35006998;SRR35006999	Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora | Transcriptome of drought-stressed herbaceous peony (Paeonia lactiflora) | Illumina HiSeq 2500 sequencing: paeonia lactiflora leaves transcriptome | Plant sample from Paeonia lactiflora | Plant sample from Paeonia lactiflora
17	97.0	SRP298169	Ziziphus jujuba	Ziziphus jujuba	2	9.22	9220080892	76330094	22686697528	297.22	2	2	2	2024	2024	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Jujube	SUB8710172	missing	SRR13260174;SRR13260175	Small RNA sequencing and RNA-seq | HiSeq X Ten sequencing: RNA-seq | Jujube | Jujube | Small RNA sequencing and RNA-seq | HiSeq X Ten sequencing: RNA-seq | Jujube | Jujube
18	95.17	SRP417456	Zingiber officinale	Zingiber officinale	2	4.571	4570951621	46119107	13835732100	300.0	2	2	2	2023	2023	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Conventionally propagated cultivar || Fusarium oxysporum f. sp. zingiberi tolerant plants	SUB12515620	India: Nauni, Solan, Himachal Pradesh	SRR23080301;SRR23080302	Differential transcriptome analysis of in vitro mutagenized Fusarium tolerants plants of ginger cv. Himgiri | Illumina NovaSeq 6000 sequencing: Fusarium oxysporum f. sp. zingiberi tolerant plants | Fusarium oxysporum f. sp. zingiberi tolerant plants | Fusarium oxysporum f. sp. zingiberi tolerant plants | Differential transcriptome analysis of in vitro mutagenized Fusarium tolerants plants of ginger cv. Himgiri | Illumina NovaSeq 6000 sequencing: Conventionally propagated cultivar | Conventionally propagated cultivar | Conventionally propagated cultivar
19	95.17	SRP458270	Panax ginseng	Panax ginseng	2	5.736	5735955223	67728493	13681155586	202.0	2	2	2	2023	2023	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Ginseng control || Ginsseng heat shock treatment	SUB13814276	South Korea	SRR25895425;SRR25895426	Transcriptome analysis of Panax ginseng after heat shock treatment | Illumina NovaSeq 6000 sequencing: 1 hr heat | Ginsseng heat shock treatment | Ginsseng heat shock treatment | Transcriptome analysis of Panax ginseng after heat shock treatment | Illumina NovaSeq 6000 sequencing: Control | Ginseng control | Ginseng control
20	95.17	SRP304056	Curcuma longa	Curcuma longa	2	10.201	10201237772	94182167	18836433400	200.0	2	2	2	2022	2022	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Plant sample from Curcuma longa || Plant sample from Curcuma longa under nutrient stress	SUB8877594; SUB9003311	India	SRR13594120;SRR13644832	Curcuma longa (IISR Prathibha) transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of IISR Prathibha | Plant sample from Curcuma longa | four month old Rhizome sample from Curcuma longa (IISR Prathibha) | Curcuma longa (IISR Prathibha) transcriptome | Illumina HiSeq 2500 sequencing: RNA-Seq of IISR Prathibha (under nutrient stress) | Plant sample from Curcuma longa under nutrient stress | Plant sample from Curcuma longa under nutrient stress
21	95.17	SRP324942	Panax notoginseng; Panax quinquefolius	Panax notoginseng; Panax quinquefolius	6	11.513	11513493909	67619738	19862703182	293.74	6	6	6	2022	2022	2	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available; multiple biological/sample labels	Plant sample from Panax notoginseng || Plant sample from Panax quinquefolius	SUB9883620		SRR14874111;SRR14874112;SRR14874113;SRR14874114;SRR14874115;SRR14874116	Panax species RNA-seq | NextSeq 500 sequencing: PN adventitious root | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax species RNA-seq | NextSeq 500 sequencing: PN adventitious root | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax species RNA-seq | NextSeq 500 sequencing: PN adventitious root | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax species RNA-seq | NextSeq 500 sequencing: PQ adventitious root | Plant sample from Panax quinquefolius | Plant sample from Panax quinquefolius | Panax species RNA-seq | NextSeq 500 sequencing: PQ adventitious root | Plant sample from Panax quinquefolius | Plant sample from Panax quinquefolius | Panax species RNA-seq | NextSeq 500 sequencing: PQ adventitious root | Plant sample from Panax quinquefolius | Plant sample from Panax quinquefolius
22	93.667	SRP511050	Curcuma longa	Curcuma longa	3	6.539	6538699179	71876806	19329896166	268.93	2	3	3	2024	2024	1	False	replicated tractable run count; download size suitable; long Illumina reads; recent release; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Curcuma longa	SUB14478988	India: Pusa, Samastipur; India: Samastipur, Pusa	SRR29248950;SRR29248951;SRR29248952	Curcuma longa transcriptome | Illumina NovaSeq 6000 sequencing: Rajendra Sonali-4M_RNA_seq of curcuma longa: 4 month from days of planting | Plant sample from Curcuma longa | Rajendra sonali leaf collected at 6 month from days of planting | Curcuma longa transcriptome | Illumina NovaSeq 6000 sequencing: NH-6M_RNA_seq of curcuma longa: 6 month from days of planting | Plant sample from Curcuma longa | Narendra Haldi leaf collected at 6 month from days of planting | Curcuma longa transcriptome | Illumina NovaSeq 6000 sequencing: Narendra haldi-4M_RNA_seq of curcuma longa: 4 month from days of planting | Plant sample from Curcuma longa | Narendra Haldi leaf at four month old
23	92.0	SRP451694	Cordyceps militaris	Cordyceps militaris	2	4.851	4851054641	44323679	13297103700	300.0	2	2	2	2023	2023	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Cordyceps militaris Raw sequence reads	SUB13711907	China	SRR25434664;SRR25434665	Cordyceps militaris Assembly | Illumina NovaSeq 6000 sequencing: CordycepsmilitarisRawsequencereads | Cordyceps militaris Raw sequence reads | Cordyceps militaris Raw sequence reads | Cordyceps militaris Assembly | Illumina NovaSeq 6000 sequencing: CordycepsmilitarisRawsequencereads | Cordyceps militaris Raw sequence reads | Cordyceps militaris Raw sequence reads
24	92.0	SRP350849	Angelica sinensis	Angelica sinensis	9	5.336	5335833269	40438261	12131478300	300.0	9	9	9	2022	2022	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Angelica sinensis	SUB10802739	China:Gansu	SRR17235563;SRR17235564;SRR17235565;SRR17235566;SRR17235567;SRR17235568;SRR17235569;SRR17235570;SRR17235571	Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis | Angelica sinensis Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Angelica sinensis | Plant sample from Angelica sinensis | Plant sample from Angelica sinensis
25	92.0	SRP377702	Panax notoginseng	Panax notoginseng	2	5.456	5455605663	44912826	12590863669	280.34	2	2	2	2022	2022	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Plant sample from Panax notoginseng	SUB11545698	China:Yunnan	SRR19449842;SRR19449843	Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of healthy Panax notoginseng Leaves | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng | Panax notoginseng Raw sequence reads | Illumina NovaSeq 6000 sequencing: RNA-Seq of Panax notoginseng Leaves with Chlorosis Symptoms | Plant sample from Panax notoginseng | Plant sample from Panax notoginseng
26	92.0	SRP345349	Sanghuangporus/Phellinus	Sanghuangporus sanghuang	2	5.782	5782035314	44727980	13360206944	298.7	2	2	2	2021	2023	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Sanghuangporus sanghuang	SUB10611119; SUB10645673	China: Guizhou	SRR16883316;SRR16954727	Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang | Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang
27	92.0	SRP345347	Sanghuangporus/Phellinus	Sanghuangporus sanghuang	2	5.796	5795951791	44495771	13308792104	299.1	2	2	2	2021	2023	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Sanghuangporus sanghuang	SUB10611119; SUB10645673	China: Guizhou	SRR16883318;SRR16954729	Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang | Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang
28	92.0	SRP345352	Sanghuangporus/Phellinus	Sanghuangporus sanghuang	2	5.824	5824111063	44727980	13360206944	298.7	2	2	2	2021	2023	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Effect of fungal polysaccharide elicitor on Sanghuangporus sanghuang transcriptome	SUB10611119; SUB10645673	China: Guizhou	SRR16883317;SRR16954726	Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Effect of fungal polysaccharide elicitor on Sanghuangporus sanghuang transcriptome | Microbe sample from Effect of fungal polysaccharide elicitor on Sanghuangporus sanghuang transcriptome | Sanghuangporus sanghuang Transcriptome or Gene expression | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Effect of fungal polysaccharide elicitor on Sanghuangporus sanghuang transcriptome | Microbe sample from Effect of fungal polysaccharide elicitor on Sanghuangporus sanghuang transcriptome
29	92.0	SRP345350	Sanghuangporus/Phellinus	Sanghuangporus sanghuang	2	6.217	6217062497	47988144	14334911440	298.72	2	2	2	2021	2023	1	False	replicated tractable run count; download size suitable; mostly paired-end; long Illumina reads; not explicitly virus-targeted; all FASTQ URLs available	Microbe sample from Sanghuangporus sanghuang	SUB10611119; SUB10645673	China: Guizhou	SRR16883315;SRR16954728	Sanghuangporus sanghuang Transcriptome | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang | Sanghuangporus sanghuang Transcriptome | Illumina NovaSeq 6000 sequencing: Second generation sequencing of Sanghuangporus sanghuang transcriptome | Microbe sample from Sanghuangporus sanghuang | Microbe sample from Sanghuangporus sanghuang
